date,time,market-val,margin,fund-avail,total-asset,profit,commission,account,mode
2010-01-02,17:00:00,0,0,100000,100000,0,0,stock,VMT
2012-05-28,16:00:00,0,0,100000,100000,0,0,stock,VMT
2012-05-29,16:00:00,0,0,100000,100000,0,0,stock,VMT
2012-05-30,16:00:00,0,0,100000,100000,0,0,stock,VMT
2012-05-31,16:00:00,0,0,100000,100000,0,0,stock,VMT
2012-06-01,16:00:00,0,0,100000,100000,0,0,stock,VMT
2012-06-04,16:00:00,0,0,100000,100000,0,0,stock,VMT
2012-06-05,16:00:00,0,0,100000,100000,0,0,stock,VMT
2012-06-06,16:00:00,0,0,100000,100000,0,0,stock,VMT
2012-06-07,16:00:00,0,0,100000,100000,0,0,stock,VMT
2012-06-08,16:00:00,0,0,100000,100000,0,0,stock,VMT
2012-06-11,16:00:00,0,0,100000,100000,0,0,stock,VMT
2012-06-12,16:00:00,0,0,100000,100000,0,0,stock,VMT
2012-06-13,16:00:00,0,0,100000,100000,0,0,stock,VMT
2012-06-14,16:00:00,0,0,100000,100000,0,0,stock,VMT
2012-06-15,16:00:00,0,0,100000,100000,0,0,stock,VMT
2012-06-18,16:00:00,0,0,100000,100000,0,0,stock,VMT
2012-06-19,16:00:00,0,0,100000,100000,0,0,stock,VMT
2012-06-20,16:00:00,0,0,100000,100000,0,0,stock,VMT
2012-06-21,16:00:00,0,0,100000,100000,0,0,stock,VMT
2012-06-25,16:00:00,49332.2,49332.2,49929.17,99261.37,-738.63,3.93,stock,VMT
2012-06-26,16:00:00,49580.2,49580.2,49681.26,99261.46,-738.54,3.94,stock,VMT
2012-06-27,16:00:00,49400.2,49400.2,49681.26,99081.46,-918.54,3.94,stock,VMT
2012-06-28,16:00:00,49120.2,49120.2,49681.26,98801.46,-1198.54,3.94,stock,VMT
2012-06-29,16:00:00,49928.7,49928.7,49435.95,99364.65,-635.35,3.95,stock,VMT
2012-07-02,16:00:00,49680.3,49680.3,49684.74,99365.04,-634.96,3.96,stock,VMT
2012-07-03,16:00:00,49511.5,49511.5,49935.83,99447.33,-552.67,3.97,stock,VMT
2012-07-04,16:00:00,49511.5,49511.5,49935.83,99447.33,-552.67,3.97,stock,VMT
2012-07-05,16:00:00,49446.4,49446.4,49443.41,98889.81,-1110.19,3.99,stock,VMT
2012-07-06,16:00:00,50000.4,50000.4,49694.1,99694.5,-305.5,4,stock,VMT
2012-07-09,16:00:00,49245.5,49245.5,49448.39,98693.89,-1306.11,4.01,stock,VMT
2012-07-10,16:00:00,49044.5,49044.5,49448.39,98492.89,-1507.11,4.01,stock,VMT
2012-07-11,16:00:00,49265.6,49265.6,49448.39,98713.99,-1286.01,4.01,stock,VMT
2012-07-12,16:00:00,49707.8,49707.8,49448.39,99156.19,-843.81,4.01,stock,VMT
2012-07-13,16:00:00,49788.2,49788.2,49448.39,99236.59,-763.41,4.01,stock,VMT
2012-07-16,16:00:00,48984.2,48984.2,49448.39,98432.59,-1567.41,4.01,stock,VMT
2012-07-17,16:00:00,49084.7,49084.7,49448.39,98533.09,-1466.91,4.01,stock,VMT
2012-07-18,16:00:00,49329,49329,49204.68,98533.68,-1466.32,4.02,stock,VMT
2012-07-19,16:00:00,49245.6,49245.6,49451.17,98696.77,-1303.23,4.03,stock,VMT
2012-07-20,16:00:00,49127.1,49127.1,49207.46,98334.56,-1665.44,4.04,stock,VMT
2012-07-23,16:00:00,48761.4,48761.4,48967.35,97728.75,-2271.25,4.05,stock,VMT
2012-07-24,16:00:00,48862.9,48862.9,48967.35,97830.25,-2169.75,4.05,stock,VMT
2012-07-25,16:00:00,48558.4,48558.4,48967.35,97525.75,-2474.25,4.05,stock,VMT
2012-07-26,16:00:00,48335.1,48335.1,48967.35,97302.45,-2697.55,4.05,stock,VMT
2012-07-27,16:00:00,48634.5,48634.5,48728.64,97363.14,-2636.86,4.06,stock,VMT
2012-07-30,16:00:00,48471.3,48471.3,48728.64,97199.94,-2800.06,4.06,stock,VMT
2012-07-31,16:00:00,48348.9,48348.9,48728.64,97077.54,-2922.46,4.06,stock,VMT
2012-08-01,16:00:00,48716.1,48716.1,48728.64,97444.74,-2555.26,4.06,stock,VMT
2012-08-02,16:00:00,48586,48586,48492.03,97078.03,-2921.97,4.07,stock,VMT
2012-08-03,16:00:00,48873,48873,48492.03,97365.03,-2634.97,4.07,stock,VMT
2012-08-06,16:00:00,49025.5,49025.5,48972.61,97998.11,-2001.89,4.09,stock,VMT
2012-08-07,16:00:00,49086.4,49086.4,48972.61,98059.01,-1940.99,4.09,stock,VMT
2012-08-08,16:00:00,49127,49127,48972.61,98099.61,-1900.39,4.09,stock,VMT
2012-08-09,16:00:00,49369.8,49369.8,49216.8,98586.6,-1413.4,4.1,stock,VMT
2012-08-10,16:00:00,49228.4,49228.4,49216.8,98445.2,-1554.8,4.1,stock,VMT
2012-08-13,16:00:00,48538.4,48538.4,48975.69,97514.09,-2485.91,4.11,stock,VMT
2012-08-14,16:00:00,48934.7,48934.7,48501.37,97436.07,-2563.93,4.13,stock,VMT
2012-08-15,16:00:00,48483.7,48483.7,48501.37,96985.07,-3014.93,4.13,stock,VMT
2012-08-16,16:00:00,48340.2,48340.2,48501.37,96841.57,-3158.43,4.13,stock,VMT
2012-08-17,16:00:00,48370.1,48370.1,48267.46,96637.56,-3362.44,4.14,stock,VMT
2012-08-20,16:00:00,48335.9,48335.9,48035.55,96371.45,-3628.55,4.15,stock,VMT
2012-08-21,16:00:00,48287.8,48287.8,48270.34,96558.14,-3441.86,4.16,stock,VMT
2012-08-22,16:00:00,47937.6,47937.6,48270.34,96207.94,-3792.06,4.16,stock,VMT
2012-08-23,16:00:00,48164.2,48164.2,48270.34,96434.54,-3565.46,4.16,stock,VMT
2012-08-24,16:00:00,47922,47922,48038.53,95960.53,-4039.47,4.17,stock,VMT
2012-08-27,16:00:00,47381.9,47381.9,47581.81,94963.71,-5036.29,4.19,stock,VMT
2012-08-28,16:00:00,47381.9,47381.9,47581.81,94963.71,-5036.29,4.19,stock,VMT
2012-08-29,16:00:00,47293.7,47293.7,47356.3,94650,-5350,4.2,stock,VMT
2012-08-30,16:00:00,47308,47308,47133.39,94441.39,-5558.61,4.21,stock,VMT
2012-08-31,16:00:00,47308,47308,47133.39,94441.39,-5558.61,4.21,stock,VMT
2012-09-03,16:00:00,47377.7,47377.7,47359.48,94737.18,-5262.82,4.22,stock,VMT
2012-09-04,16:00:00,46873.7,46873.7,47359.48,94233.18,-5766.82,4.22,stock,VMT
2012-09-05,16:00:00,47075.9,47075.9,47136.27,94212.17,-5787.83,4.23,stock,VMT
2012-09-06,16:00:00,47540.1,47540.1,47136.27,94676.37,-5323.63,4.23,stock,VMT
2012-09-07,16:00:00,48299.5,48299.5,48532.99,96832.49,-3167.51,4.31,stock,VMT
2012-09-10,16:00:00,67856.5,67856.5,29154.87,97011.37,-2988.63,5.83,stock,VMT
2012-09-11,16:00:00,48337.4,48337.4,48090.86,96428.26,-3571.74,7.34,stock,VMT
2012-09-12,16:00:00,48348.8,48348.8,48326.75,96675.55,-3324.45,7.35,stock,VMT
2012-09-13,16:00:00,47877.3,47877.3,48326.75,96204.05,-3795.95,7.35,stock,VMT
2012-09-14,16:00:00,48205.3,48205.3,48326.75,96532.05,-3467.95,7.35,stock,VMT
2012-09-17,16:00:00,47307.5,47307.5,48093.84,95401.34,-4598.66,7.36,stock,VMT
2012-09-18,16:00:00,47411.2,47411.2,47411,94822.2,-5177.8,7.4,stock,VMT
2012-09-19,16:00:00,47599.3,47599.3,47411,95010.3,-4989.7,7.4,stock,VMT
2012-09-20,16:00:00,46798.1,46798.1,47186.19,93984.29,-6015.71,7.41,stock,VMT
2012-09-21,16:00:00,46777.1,46777.1,47186.19,93963.29,-6036.71,7.41,stock,VMT
2012-09-24,16:00:00,47196.7,47196.7,47190.67,94387.37,-5612.63,7.43,stock,VMT
2012-09-25,16:00:00,47133.7,47133.7,47190.67,94324.37,-5675.63,7.43,stock,VMT
2012-09-26,16:00:00,46851.8,46851.8,46968.26,93820.06,-6179.94,7.44,stock,VMT
2012-09-27,16:00:00,47516.4,47516.4,47657.01,95173.41,-4826.59,7.49,stock,VMT
2012-09-28,16:00:00,48385.2,48385.2,47888.6,96273.8,-3726.2,7.5,stock,VMT
2012-10-08,16:00:00,66775.6,66775.6,28624.6,95400.2,-4599.8,9,stock,VMT
2012-10-09,16:00:00,67614.3,67614.3,29106.27,96720.57,-3279.43,12.03,stock,VMT
2012-10-10,16:00:00,48538.8,48538.8,48172.17,96710.97,-3289.03,13.53,stock,VMT
2012-10-11,16:00:00,48209.2,48209.2,48172.17,96381.37,-3618.63,13.53,stock,VMT
2012-10-12,16:00:00,48168,48168,48172.17,96340.17,-3659.83,13.53,stock,VMT
2012-10-15,16:00:00,48003.2,48003.2,48172.17,96175.37,-3824.63,13.53,stock,VMT
2012-10-16,16:00:00,48023.8,48023.8,48172.17,96195.97,-3804.03,13.53,stock,VMT
2012-10-17,16:00:00,48209.2,48209.2,48172.17,96381.37,-3618.63,13.53,stock,VMT
2012-10-18,16:00:00,67758.6,67758.6,29274.69,97033.29,-2966.71,15.01,stock,VMT
2012-10-19,16:00:00,67758.6,67758.6,29274.69,97033.29,-2966.71,15.01,stock,VMT
2012-10-22,16:00:00,48762.3,48762.3,48373.8,97136.1,-2863.9,16.5,stock,VMT
2012-10-23,16:00:00,48216.9,48216.9,48257.4,96474.3,-3525.7,19.5,stock,VMT
2012-10-24,16:00:00,48134.9,48134.9,48257.4,96392.3,-3607.7,19.5,stock,VMT
2012-10-25,16:00:00,47978.2,47978.2,48024.49,96002.69,-3997.31,19.51,stock,VMT
2012-10-26,16:00:00,47362,47362,47566.37,94928.37,-5071.63,19.53,stock,VMT
2012-10-29,16:00:00,47359.7,47359.7,47339.86,94699.56,-5300.44,19.54,stock,VMT
2012-10-30,16:00:00,47464.2,47464.2,47339.86,94804.06,-5195.94,19.54,stock,VMT
2012-10-31,16:00:00,47798.6,47798.6,47339.86,95138.46,-4861.54,19.54,stock,VMT
2012-11-01,16:00:00,48101.8,48101.8,48035.73,96137.53,-3862.47,19.57,stock,VMT
2012-11-02,16:00:00,29033.2,29033.2,67156.63,96189.83,-3810.17,21.07,stock,VMT
2012-11-05,16:00:00,57642.5,57642.5,38397.79,96040.29,-3959.71,23.31,stock,VMT
2012-11-06,16:00:00,48128.3,48128.3,47715.73,95844.03,-4155.97,24.07,stock,VMT
2012-11-07,16:00:00,48086.9,48086.9,47715.73,95802.63,-4197.37,24.07,stock,VMT
2012-11-08,16:00:00,47217.5,47217.5,47715.73,94933.23,-5066.77,24.07,stock,VMT
2012-11-09,16:00:00,47320.7,47320.7,47487.92,94808.62,-5191.38,24.08,stock,VMT
2012-11-12,16:00:00,47487.1,47487.1,47487.92,94975.02,-5024.98,24.08,stock,VMT
2012-11-13,16:00:00,46983.8,46983.8,47261.91,94245.71,-5754.29,24.09,stock,VMT
2012-11-14,16:00:00,47109.2,47109.2,47261.91,94371.11,-5628.89,24.09,stock,VMT
2012-11-15,16:00:00,46767.5,46767.5,47038.1,93805.6,-6194.4,24.1,stock,VMT
2012-11-16,16:00:00,46767.3,46767.3,46596.58,93363.88,-6636.12,24.12,stock,VMT
2012-11-19,16:00:00,46767.3,46767.3,46596.58,93363.88,-6636.12,24.12,stock,VMT
2012-11-20,16:00:00,46640.1,46640.1,46596.58,93236.68,-6763.32,24.12,stock,VMT
2012-11-21,16:00:00,47212.5,47212.5,46596.58,93809.08,-6190.92,24.12,stock,VMT
