date,account,id,time,inst-id,side,pos-side,trans-type,order-price,order-qty,trade-price,trade-qty,commission,status,RejectReason
2012-06-25,stock,100000,10:30:00,510300.XSHG.CS,B,L,O,2.515,19800,2.516,19800,3.92,4,
2012-06-25,stock,100002,14:00:00,510300.XSHG.CS,B,L,O,2.5,100,2.501,100,0.01,4,
2012-06-25,stock,100004,15:00:00,510300.XSHG.CS,B,L,O,2.48,100,0,0,0,6,
2012-06-26,stock,100006,10:00:00,510300.XSHG.CS,B,L,O,2.478,100,2.479,100,0.01,4,
2012-06-28,stock,100008,15:00:00,510300.XSHG.CS,B,L,O,2.457,100,0,0,0,6,
2012-06-29,stock,100010,10:00:00,510300.XSHG.CS,B,L,O,2.453,100,2.453,100,0.01,4,
2012-06-29,stock,100012,15:00:00,510300.XSHG.CS,S,L,O,2.485,100,0,0,0,6,
2012-07-02,stock,100014,11:30:00,510300.XSHG.CS,S,L,O,2.489,100,2.488,100,0.01,4,
2012-07-03,stock,100016,11:00:00,510300.XSHG.CS,S,L,O,2.512,100,2.511,100,0.01,4,
2012-07-05,stock,100018,10:00:00,510300.XSHG.CS,B,L,O,2.466,100,2.467,100,0.01,4,
2012-07-05,stock,100020,11:00:00,510300.XSHG.CS,B,L,O,2.456,100,2.457,100,0.01,4,
2012-07-06,stock,100022,14:30:00,510300.XSHG.CS,S,L,O,2.508,100,2.507,100,0.01,4,
2012-07-09,stock,100024,14:30:00,510300.XSHG.CS,B,L,O,2.455,100,2.457,100,0.01,4,
2012-07-18,stock,100026,11:00:00,510300.XSHG.CS,B,L,O,2.435,100,2.437,100,0.01,4,
2012-07-19,stock,100028,11:00:00,510300.XSHG.CS,S,L,O,2.466,100,2.4650000000000003,100,0.01,4,
2012-07-20,stock,100030,13:30:00,510300.XSHG.CS,B,L,O,2.436,100,2.437,100,0.01,4,
2012-07-23,stock,100032,10:00:00,510300.XSHG.CS,B,L,O,2.4,100,2.401,100,0.01,4,
2012-07-26,stock,100034,15:00:00,510300.XSHG.CS,B,L,O,2.382,100,0,0,0,6,
