date,time,inst-id,direction,cost-price,last-price,volume,avail-vol,amt,pnl,account
2012-06-25,16:00:00,510300.XSHG.CS,L,2.515924623115578,2.48,19900,19900,49352,-714.8999999999996,stock
2012-06-26,16:00:00,510300.XSHG.CS,L,2.51574,2.48,20000,20000,49600,-714.8000000000021,stock
2012-06-27,16:00:00,510300.XSHG.CS,L,2.51574,2.471,20000,20000,49420,-894.8000000000001,stock
2012-06-28,16:00:00,510300.XSHG.CS,L,2.51574,2.457,20000,20000,49140,-1174.8000000000047,stock
2012-06-29,16:00:00,510300.XSHG.CS,L,2.515427860696518,2.485,20100,20100,49948.5,-611.6000000000125,stock
2012-07-02,16:00:00,510300.XSHG.CS,L,2.515427860696518,2.485,20000,20000,49700,-608.5572139303608,stock
2012-07-03,16:00:00,510300.XSHG.CS,L,2.515427860696518,2.489,19900,19900,49531.1,-525.9144278607089,stock
2012-07-04,16:00:00,510300.XSHG.CS,L,2.515427860696518,2.489,19900,19900,49531.1,-525.9144278607089,stock
2012-07-05,16:00:00,510300.XSHG.CS,L,2.514896240192075,2.461,20100,20100,49466.1,-1083.3144278607087,stock
2012-07-06,16:00:00,510300.XSHG.CS,L,2.514896240192075,2.501,20000,20000,50020,-277.92480384150053,stock
2012-07-09,16:00:00,510300.XSHG.CS,L,2.5146081991960942,2.451,20100,20100,49265.1,-1278.524803841493,stock
2012-07-10,16:00:00,510300.XSHG.CS,L,2.5146081991960942,2.441,20100,20100,49064.1,-1479.5248038414975,stock
2012-07-11,16:00:00,510300.XSHG.CS,L,2.5146081991960942,2.452,20100,20100,49285.2,-1258.424803841495,stock
2012-07-12,16:00:00,510300.XSHG.CS,L,2.5146081991960942,2.474,20100,20100,49727.4,-816.2248038414903,stock
2012-07-13,16:00:00,510300.XSHG.CS,L,2.5146081991960942,2.478,20100,20100,49807.8,-735.8248038414902,stock
2012-07-16,16:00:00,510300.XSHG.CS,L,2.5146081991960942,2.438,20100,20100,49003.8,-1539.8248038414908,stock
2012-07-17,16:00:00,510300.XSHG.CS,L,2.5146081991960942,2.443,20100,20100,49104.3,-1439.3248038414931,stock
2012-07-18,16:00:00,510300.XSHG.CS,L,2.514224000190173,2.443,20200,20200,49348.6,-1438.724803841489,stock
2012-07-19,16:00:00,510300.XSHG.CS,L,2.514224000190173,2.451,20100,20100,49265.1,-1270.8024038224714,stock
2012-07-20,16:00:00,510300.XSHG.CS,L,2.513841703159528,2.433,20200,20200,49146.6,-1633.0024038224722,stock
2012-07-23,16:00:00,510300.XSHG.CS,L,2.5132858327006145,2.403,20300,20300,48780.9,-2238.802403822473,stock
2012-07-24,16:00:00,510300.XSHG.CS,L,2.5132858327006145,2.408,20300,20300,48882.4,-2137.302403822475,stock
2012-07-25,16:00:00,510300.XSHG.CS,L,2.5132858327006145,2.393,20300,20300,48577.899999999994,-2441.8024038224776,stock
2012-07-26,16:00:00,510300.XSHG.CS,L,2.5132858327006145,2.382,20300,20300,48354.600000000006,-2665.102403822471,stock
2012-07-27,16:00:00,510300.XSHG.CS,L,2.5126667845011013,2.385,20400,20400,48653.99999999999,-2604.40240382247,stock
2012-07-30,16:00:00,510300.XSHG.CS,L,2.5126667845011013,2.377,20400,20400,48490.799999999996,-2767.60240382247,stock
2012-07-31,16:00:00,510300.XSHG.CS,L,2.5126667845011013,2.371,20400,20400,48368.4,-2890.0024038224656,stock
2012-08-01,16:00:00,510300.XSHG.CS,L,2.5126667845011013,2.389,20400,20400,48735.6,-2522.80240382247,stock
2012-08-02,16:00:00,510300.XSHG.CS,L,2.5119513367718276,2.371,20500,20500,48605.5,-2889.5024038224656,stock
2012-08-03,16:00:00,510300.XSHG.CS,L,2.5119513367718276,2.385,20500,20500,48892.49999999999,-2602.5024038224697,stock
2012-08-06,16:00:00,510300.XSHG.CS,L,2.5119513367718276,2.416,20300,20300,49044.799999999996,-1947.8121364681015,stock
