Date,Time,Open,Close,High,Low,Volume,Amount
20190102,2019.01.02T14:50:00.000,5.59,5.58,5.59,5.57,13450,75002
20190102,2019.01.02T14:51:00.000,5.58,5.58,5.58,5.57,18600,103669
20190102,2019.01.02T15:00:00.000,5.57,5.58,5.58,5.57,68100,379998
20190103,2019.01.03T14:50:00.000,5.56,5.56,5.56,5.55,131800,731698
20190103,2019.01.03T14:51:00.000,5.56,5.55,5.56,5.55,36700,203941
20190103,2019.01.03T15:00:00.000,5.56,5.56,5.57,5.56,47600,264656
20190104,2019.01.04T14:50:00.000,5.68,5.68,5.68,5.67,14600,82854
20190104,2019.01.04T14:51:00.000,5.67,5.68,5.68,5.67,24800,140668
20190104,2019.01.04T15:00:00.000,5.69,5.69,5.69,5.69,184300,1048667
20190107,2019.01.07T14:50:00.000,5.73,5.73,5.74,5.73,163450,936925
20190107,2019.01.07T14:51:00.000,5.73,5.73,5.74,5.73,64600,370273
20190107,2019.01.07T15:00:00.000,5.75,5.74,5.75,5.74,184450,1058743
20190108,2019.01.08T14:50:00.000,5.7,5.71,5.71,5.7,49207,280770
20190108,2019.01.08T14:51:00.000,5.7,5.71,5.71,5.7,11100,63325
20190108,2019.01.08T15:00:00.000,5.7,5.7,5.7,5.7,46100,262770
20190109,2019.01.09T14:50:00.000,5.78,5.78,5.8,5.78,104700,606026
20190109,2019.01.09T14:51:00.000,5.78,5.79,5.8,5.78,86200,499080
20190109,2019.01.09T15:00:00.000,5.79,5.79,5.79,5.79,82800,479412
20190110,2019.01.10T14:50:00.000,5.78,5.77,5.78,5.77,35400,204271
20190110,2019.01.10T14:51:00.000,5.77,5.78,5.78,5.77,1000,5774
20190110,2019.01.10T15:00:00.000,5.79,5.79,5.79,5.79,86900,503151
20190111,2019.01.11T14:50:00.000,5.87,5.88,5.88,5.86,185883,1090871
20190111,2019.01.11T14:51:00.000,5.87,5.87,5.88,5.87,18200,106974
20190111,2019.01.11T15:00:00.000,5.88,5.88,5.88,5.88,375300,2206764
20190114,2019.01.14T14:50:00.000,5.84,5.84,5.85,5.84,17150,100164
20190114,2019.01.14T14:51:00.000,5.84,5.83,5.85,5.83,45381,265007
20190114,2019.01.14T15:00:00.000,5.84,5.84,5.84,5.84,134300,784312
20190115,2019.01.15T14:50:00.000,5.89,5.88,5.89,5.88,43100,253446
20190115,2019.01.15T14:51:00.000,5.88,5.88,5.89,5.88,40200,236439
20190115,2019.01.15T15:00:00.000,5.88,5.88,5.88,5.88,95699,562710
20190116,2019.01.16T14:50:00.000,5.83,5.83,5.84,5.83,45700,266655
20190116,2019.01.16T14:51:00.000,5.83,5.84,5.84,5.83,17100,99725
20190116,2019.01.16T15:00:00.000,5.83,5.83,5.83,5.83,144400,841852
20190117,2019.01.17T14:50:00.000,5.81,5.82,5.82,5.81,26200,152417
20190117,2019.01.17T14:51:00.000,5.82,5.82,5.82,5.81,44800,260592
20190117,2019.01.17T15:00:00.000,5.82,5.82,5.82,5.82,62300,362586
20190118,2019.01.18T14:50:00.000,5.97,5.96,5.97,5.96,63000,375622
20190118,2019.01.18T14:51:00.000,5.97,5.96,5.97,5.96,134000,798641
20190118,2019.01.18T15:00:00.000,5.95,5.95,5.95,5.95,304750,1813262
20190121,2019.01.21T14:50:00.000,5.93,5.93,5.94,5.93,55150,327066
20190121,2019.01.21T14:51:00.000,5.94,5.94,5.94,5.93,52200,309572
20190121,2019.01.21T15:00:00.000,5.94,5.94,5.94,5.94,145600,864864
20190122,2019.01.22T14:50:00.000,5.87,5.86,5.87,5.86,26600,155945
20190122,2019.01.22T14:51:00.000,5.86,5.87,5.87,5.86,9800,57514
20190122,2019.01.22T15:00:00.000,5.86,5.86,5.86,5.86,66400,389104
20190123,2019.01.23T14:50:00.000,5.87,5.87,5.87,5.86,157600,924457
20190123,2019.01.23T14:51:00.000,5.87,5.87,5.87,5.86,24600,144213
20190123,2019.01.23T15:00:00.000,5.86,5.86,5.86,5.86,48900,286554
20190124,2019.01.24T14:50:00.000,5.83,5.83,5.84,5.83,340000,1982261
20190124,2019.01.24T14:51:00.000,5.83,5.83,5.84,5.83,49869,290770
20190124,2019.01.24T15:00:00.000,5.83,5.83,5.83,5.83,75350,439290
20190125,2019.01.25T14:50:00.000,5.89,5.9,5.9,5.89,267900,1580039
20190125,2019.01.25T14:51:00.000,5.89,5.9,5.91,5.89,90700,535039
20190125,2019.01.25T15:00:00.000,5.89,5.89,5.89,5.89,162300,955947
20190128,2019.01.28T14:50:00.000,5.9,5.9,5.91,5.9,19950,117725
20190128,2019.01.28T14:51:00.000,5.9,5.92,5.92,5.9,69050,408061
20190128,2019.01.28T15:00:00.000,5.9,5.9,5.9,5.9,153350,904765
20190129,2019.01.29T14:50:00.000,5.82,5.82,5.83,5.82,16500,96164
20190129,2019.01.29T14:51:00.000,5.82,5.82,5.83,5.82,14150,82355
20190129,2019.01.29T15:00:00.000,5.82,5.82,5.82,5.82,81308,473212
20190130,2019.01.30T14:50:00.000,5.71,5.71,5.72,5.71,69021,394376
20190130,2019.01.30T14:51:00.000,5.71,5.71,5.72,5.71,37100,211881
20190130,2019.01.30T15:00:00.000,5.7,5.7,5.7,5.7,148328,845469
20190131,2019.01.31T14:50:00.000,5.67,5.67,5.68,5.67,43000,243829
20190131,2019.01.31T14:51:00.000,5.68,5.67,5.68,5.67,45800,259917
20190131,2019.01.31T15:00:00.000,5.65,5.65,5.65,5.65,226100,1277465
20190201,2019.02.01T14:50:00.000,5.77,5.76,5.77,5.76,449400,2591199
20190201,2019.02.01T14:51:00.000,5.77,5.77,5.77,5.77,356100,2052814
20190201,2019.02.01T15:00:00.000,5.76,5.76,5.76,5.76,237962,1370661
