Date,Time,Open,Close,High,Low,Volume,Amount
20190102,2019.01.02T14:50:00.000,3.7,3.7,3.72,3.7,357681,1324247
20190102,2019.01.02T14:51:00.000,3.71,3.71,3.71,3.7,125100,463318
20190102,2019.01.02T15:00:00.000,3.74,3.71,3.74,3.71,27898,103502
20190103,2019.01.03T14:50:00.000,3.76,3.76,3.77,3.76,46700,175857
20190103,2019.01.03T14:51:00.000,3.77,3.76,3.77,3.76,54700,206032
20190103,2019.01.03T15:00:00.000,3.78,3.76,3.78,3.76,145400,546704
20190104,2019.01.04T14:50:00.000,3.81,3.8,3.81,3.8,14000,53250
20190104,2019.01.04T14:51:00.000,3.81,3.81,3.81,3.8,52000,197998
20190104,2019.01.04T15:00:00.000,3.8,3.8,3.8,3.8,139600,530480
20190107,2019.01.07T14:50:00.000,3.84,3.83,3.85,3.83,55389,212341
20190107,2019.01.07T14:51:00.000,3.84,3.83,3.84,3.83,122970,471467
20190107,2019.01.07T15:00:00.000,3.85,3.83,3.85,3.83,279121,1069034
20190108,2019.01.08T14:50:00.000,3.87,3.87,3.87,3.86,6300,24330
20190108,2019.01.08T14:51:00.000,3.87,3.86,3.87,3.86,73800,285296
20190108,2019.01.08T15:00:00.000,3.85,3.85,3.85,3.85,61800,237930
20190109,2019.01.09T14:50:00.000,3.84,3.84,3.84,3.83,126939,486610
20190109,2019.01.09T14:51:00.000,3.83,3.84,3.84,3.83,59100,226489
20190109,2019.01.09T15:00:00.000,3.83,3.82,3.83,3.82,224100,856062
20190110,2019.01.10T14:50:00.000,3.8,3.81,3.81,3.8,14100,53610
20190110,2019.01.10T14:51:00.000,3.81,3.8,3.81,3.8,35200,133996
20190110,2019.01.10T15:00:00.000,3.82,3.81,3.82,3.81,74900,285369
20190111,2019.01.11T14:50:00.000,3.79,3.79,3.8,3.78,75200,285350
20190111,2019.01.11T14:51:00.000,3.8,3.8,3.8,3.79,30800,116859
20190111,2019.01.11T15:00:00.000,3.8,3.8,3.8,3.8,70010,266038
20190114,2019.01.14T14:50:00.000,3.81,3.81,3.82,3.81,84900,323480
20190114,2019.01.14T14:51:00.000,3.81,3.81,3.81,3.8,71100,270614
20190114,2019.01.14T15:00:00.000,3.81,3.81,3.81,3.81,55900,212979
20190115,2019.01.15T14:50:00.000,3.81,3.8,3.81,3.8,44203,168345
20190115,2019.01.15T14:51:00.000,3.8,3.81,3.81,3.8,95490,363145
20190115,2019.01.15T15:00:00.000,3.81,3.81,3.81,3.81,203000,773430
20190116,2019.01.16T14:50:00.000,3.8,3.8,3.8,3.79,25700,97643
20190116,2019.01.16T14:51:00.000,3.8,3.8,3.8,3.79,70600,268084
20190116,2019.01.16T15:00:00.000,3.8,3.81,3.81,3.8,103200,393192
