date,time,market-val,margin,fund-avail,total-asset,profit,commission,account,mode
2013-01-02,17:00:00,0,0,3000000000,3000000000,0,0,stock,VMT
2020-01-02,16:00:00,0,0,3000000000,3000000000,0,0,stock,VMT
2020-01-03,16:00:00,0,0,3000000000,3000000000,0,0,stock,VMT
2020-01-06,16:00:00,0,0,3000000000,3000000000,0,0,stock,VMT
2020-01-07,16:00:00,0,0,3000000000,3000000000,0,0,stock,VMT
2020-01-08,16:00:00,0,0,3000000000,3000000000,0,0,stock,VMT
2020-01-09,16:00:00,0,0,3000000000,3000000000,0,0,stock,VMT
2020-01-10,16:00:00,0,0,3000000000,3000000000,0,0,stock,VMT
2020-01-13,16:00:00,0,0,3000000000,3000000000,0,0,stock,VMT
2020-01-14,16:00:00,0,0,3000000000,3000000000,0,0,stock,VMT
2020-01-15,16:00:00,1938036829,1938036829,1057204175.38,2995241004.38,-4758995.62,1743634.62,stock,VMT
2020-01-16,16:00:00,1940514569,1940514569,1045593173.34,2986107742.34,-13892257.66,1754056.66,stock,VMT
2020-01-17,16:00:00,1939074611,1939074611,1045593173.34,2984667784.34,-15332215.66,1754056.66,stock,VMT
2020-01-20,16:00:00,1954747293,1954747293,1045593173.34,3000340466.34,340466.34,1754056.66,stock,VMT
2020-01-21,16:00:00,1933450785,1933450785,1045593173.34,2979043958.34,-20956041.66,1754056.66,stock,VMT
2020-01-22,16:00:00,1923627316,1923627316,1045593173.34,2969220489.34,-30779510.66,1754056.66,stock,VMT
2020-01-23,16:00:00,1861954830,1861954830,1045593173.34,2907548003.34,-92451996.66,1754056.66,stock,VMT
2020-02-03,16:00:00,1702180701,1702180701,1045593173.34,2747773874.34,-252226125.66,1754056.66,stock,VMT
2020-02-04,16:00:00,1709947413,1709947413,1033982315.24,2743929728.24,-256070271.76,1764478.76,stock,VMT
2020-02-05,16:00:00,1749462842,1749462842,1033982315.24,2783445157.24,-216554842.76,1764478.76,stock,VMT
2020-02-06,16:00:00,1816731118,1816731118,1010760809.34,2827491927.34,-172508072.66,1785322.66,stock,VMT
2020-02-07,16:00:00,1823428284,1823428284,1010760809.34,2834189093.34,-165810906.66,1785322.66,stock,VMT
2020-02-10,16:00:00,1841227957,1841227957,1010760809.34,2851988766.34,-148011233.66,1785322.66,stock,VMT
2020-02-11,16:00:00,1836775168,1836775168,1010760809.34,2847535977.34,-152464022.66,1785322.66,stock,VMT
2020-02-12,16:00:00,1853399638,1853399638,1010760809.34,2864160447.34,-135839552.66,1785322.66,stock,VMT
2020-02-13,16:00:00,1831668911,1831668911,1010760809.34,2842429720.34,-157570279.66,1785322.66,stock,VMT
2020-02-14,16:00:00,2807196640,2807196640,35277136.19,2842473776.19,-157526223.81,2660739.81,stock,VMT
2020-02-17,16:00:00,2887543289,2887543289,35277136.19,2922820425.19,-77179574.81,2660739.81,stock,VMT
2020-02-18,16:00:00,2910696791,2910696791,35277136.19,2945973927.19,-54026072.81,2660739.81,stock,VMT
2020-02-19,16:00:00,2894650251,2894650251,35277136.19,2929927387.19,-70072612.81,2660739.81,stock,VMT
2020-02-20,16:00:00,2941875247,2941875247,35277136.19,2977152383.19,-22847616.81,2660739.81,stock,VMT
2020-02-21,16:00:00,2962029932,2962029932,35277136.19,2997307068.19,-2692931.81,2660739.81,stock,VMT
