Date,Time,Open,Close,High,Low,Volume,Amount
20200102,2020.01.02T14:50:00.000,6.45,6.44,6.45,6.44,8600,55387
20200102,2020.01.02T14:51:00.000,6.44,6.44,6.45,6.44,102100,657805
20200102,2020.01.02T15:00:00.000,6.46,6.45,6.46,6.45,52000,335400
20200103,2020.01.03T14:50:00.000,6.47,6.47,6.47,6.46,20600,133241
20200103,2020.01.03T14:51:00.000,6.47,6.46,6.47,6.46,99100,640586
20200103,2020.01.03T15:00:00.000,6.48,6.48,6.48,6.48,37627,243823
20200106,2020.01.06T14:50:00.000,6.46,6.46,6.46,6.45,69400,447711
20200106,2020.01.06T14:51:00.000,6.44,6.45,6.47,6.44,33500,216371
20200106,2020.01.06T15:00:00.000,6.47,6.47,6.47,6.47,45200,292444
20200107,2020.01.07T14:50:00.000,6.5,6.5,6.5,6.49,46100,299504
20200107,2020.01.07T14:51:00.000,6.5,6.5,6.5,6.49,36700,238389
20200107,2020.01.07T15:00:00.000,6.49,6.5,6.5,6.49,82900,538850
20200108,2020.01.08T14:50:00.000,6.33,6.34,6.34,6.32,28900,182946
20200108,2020.01.08T14:51:00.000,6.34,6.33,6.34,6.32,13300,84179
20200108,2020.01.08T15:00:00.000,6.31,6.31,6.31,6.31,49700,313607
20200109,2020.01.09T14:50:00.000,6.5,6.5,6.5,6.5,37000,240500
20200109,2020.01.09T14:51:00.000,6.5,6.5,6.5,6.5,17218,111917
20200109,2020.01.09T15:00:00.000,6.5,6.5,6.5,6.5,146600,952900
20200110,2020.01.10T14:50:00.000,6.43,6.45,6.45,6.43,9100,58619
20200110,2020.01.10T14:51:00.000,6.45,6.43,6.45,6.43,30600,196885
20200110,2020.01.10T15:00:00.000,6.44,6.45,6.45,6.44,75200,485040
20200113,2020.01.13T14:50:00.000,6.53,6.54,6.54,6.53,122300,799137
20200113,2020.01.13T14:51:00.000,6.54,6.53,6.54,6.52,139700,912156
20200113,2020.01.13T15:00:00.000,6.55,6.55,6.55,6.55,113300,742115
20200114,2020.01.14T14:50:00.000,6.46,6.46,6.47,6.46,111300,719234
20200114,2020.01.14T14:51:00.000,6.46,6.46,6.47,6.46,57000,368239
20200114,2020.01.14T15:00:00.000,6.47,6.47,6.47,6.47,40900,264623
20200115,2020.01.15T14:50:00.000,6.52,6.53,6.53,6.51,10400,67810
20200115,2020.01.15T14:51:00.000,6.52,6.52,6.53,6.51,35700,232527
20200115,2020.01.15T15:00:00.000,6.54,6.54,6.54,6.54,236400,1546056
20200116,2020.01.16T14:50:00.000,6.56,6.56,6.57,6.56,23600,154830
20200116,2020.01.16T14:51:00.000,6.56,6.56,6.57,6.56,23400,153733
20200116,2020.01.16T15:00:00.000,6.58,6.58,6.58,6.58,83300,548114
20200117,2020.01.17T14:50:00.000,6.67,6.66,6.68,6.66,83800,558950
20200117,2020.01.17T14:51:00.000,6.66,6.66,6.67,6.65,135500,902097
20200117,2020.01.17T15:00:00.000,6.7,6.71,6.71,6.7,234800,1575508
20200120,2020.01.20T14:50:00.000,7.19,7.18,7.19,7.18,44100,316916
20200120,2020.01.20T14:51:00.000,7.19,7.19,7.19,7.18,147700,1061489
20200120,2020.01.20T15:00:00.000,7.16,7.17,7.17,7.16,320000,2294400
20200121,2020.01.21T14:50:00.000,7.14,7.12,7.14,7.12,55482,395617
20200121,2020.01.21T14:51:00.000,7.12,7.14,7.14,7.12,27500,196114
20200121,2020.01.21T15:00:00.000,7.16,7.16,7.16,7.16,81600,584256
20200122,2020.01.22T14:50:00.000,7.03,7.02,7.03,7.02,36300,254865
20200122,2020.01.22T14:51:00.000,7.02,7.01,7.02,7.01,79200,556039
20200122,2020.01.22T15:00:00.000,7.03,7.02,7.03,7.02,138400,971568
20200123,2020.01.23T14:50:00.000,6.74,6.74,6.74,6.74,19700,132778
20200123,2020.01.23T14:51:00.000,6.73,6.74,6.74,6.73,16000,107690
20200123,2020.01.23T15:00:00.000,6.74,6.74,6.74,6.74,114300,770382
20200203,2020.02.03T14:50:00.000,6.07,6.07,6.07,6.07,0,0
20200203,2020.02.03T14:51:00.000,6.07,6.07,6.07,6.07,200,1214
20200203,2020.02.03T15:00:00.000,6.07,6.07,6.07,6.07,3300,20031
20200204,2020.02.04T14:50:00.000,5.74,5.73,5.76,5.73,48200,276554
20200204,2020.02.04T14:51:00.000,5.74,5.73,5.74,5.73,38700,221825
20200204,2020.02.04T15:00:00.000,5.71,5.77,5.77,5.71,146000,842420
20200205,2020.02.05T14:50:00.000,5.85,5.85,5.86,5.85,17300,101224
20200205,2020.02.05T14:51:00.000,5.86,5.85,5.86,5.85,28800,168510
20200205,2020.02.05T15:00:00.000,5.87,5.86,5.87,5.86,42200,247292
20200206,2020.02.06T14:50:00.000,5.95,5.96,5.96,5.95,15800,94071
20200206,2020.02.06T14:51:00.000,5.96,5.94,5.96,5.94,27700,164783
20200206,2020.02.06T15:00:00.000,5.96,5.96,5.96,5.96,89300,532228
