date,account,id,time,inst-id,side,pos-side,trans-type,order-price,order-qty,trade-price,trade-qty,commission,status,RejectReason
2020-01-15,stock,100000,14:50:00,600000.XSHG.CS,B,L,O,12.28,944700,12.28,944700,10440.82,4,
2020-01-15,stock,100002,14:50:00,600004.XSHG.CS,B,L,O,17.67,656500,17.680000000000003,656500,10440.31,4,
2020-01-15,stock,100004,14:50:00,600006.XSHG.CS,B,L,O,4.62,2511100,4.64,2511100,10441.15,4,
2020-01-15,stock,100006,14:50:00,600007.XSHG.CS,B,L,O,16.96,684000,17,684000,10440.57,4,
2020-01-15,stock,100008,14:50:00,600008.XSHG.CS,B,L,O,3.3,3515600,3.32,3515600,10441.33,4,
2020-01-15,stock,100010,14:50:00,600009.XSHG.CS,B,L,O,73.35,158100,73.37,158100,10436.97,4,
2020-01-15,stock,100012,14:50:00,600010.XSHG.CS,B,L,O,1.32,8789000,1.34,8789000,10441.33,4,
2020-01-15,stock,100014,14:50:00,600011.XSHG.CS,B,L,O,5.6,2071700,5.62,2071700,10441.36,4,
2020-01-15,stock,100016,14:50:00,600012.XSHG.CS,B,L,O,5.89,1969700,5.8999999999999995,1969700,10441.37,4,
2020-01-15,stock,100018,14:50:00,600015.XSHG.CS,B,L,O,7.61,1524500,7.61,1524500,10441.3,4,
2020-01-15,stock,100020,14:50:00,600016.XSHG.CS,B,L,O,6.33,1832700,6.34,1832700,10440.88,4,
2020-01-15,stock,100022,14:50:00,600017.XSHG.CS,B,L,O,2.91,3986700,2.92,3986700,10441.16,4,
2020-01-15,stock,100024,14:50:00,600018.XSHG.CS,B,L,O,5.59,2075400,5.6,2075400,10441.33,4,
2020-01-15,stock,100026,14:50:00,600019.XSHG.CS,B,L,O,5.66,2049700,5.67,2049700,10441.17,4,
2020-01-15,stock,100028,14:50:00,600020.XSHG.CS,B,L,O,4.45,2607000,4.46,2607000,10441.03,4,
2020-01-15,stock,100030,14:50:00,600021.XSHG.CS,B,L,O,7.92,1464800,7.93,1464800,10441.09,4,
2020-01-15,stock,100032,14:50:00,600022.XSHG.CS,B,L,O,1.42,8170100,1.43,8170100,10441.39,4,
2020-01-15,stock,100034,14:50:00,600023.XSHG.CS,B,L,O,3.93,2952000,3.94,2952000,10441.22,4,
2020-01-15,stock,100036,14:50:00,600025.XSHG.CS,B,L,O,4.16,2788800,4.16,2788800,10441.26,4,
2020-01-15,stock,100038,14:50:00,600026.XSHG.CS,B,L,O,6.53,1776600,6.54,1776600,10441.07,4,
2020-01-15,stock,100040,14:50:00,600027.XSHG.CS,B,L,O,3.63,3196000,3.63,3196000,10441.33,4,
2020-01-15,stock,100042,14:50:00,600028.XSHG.CS,B,L,O,5.09,2279200,5.1,2279200,10441.01,4,
2020-01-15,stock,100044,14:50:00,600029.XSHG.CS,B,L,O,7.14,1624800,7.15,1624800,10440.96,4,
2020-01-15,stock,100046,14:50:00,600030.XSHG.CS,B,L,O,25.31,458300,25.32,458300,10439.61,4,
2020-01-15,stock,100048,14:50:00,600031.XSHG.CS,B,L,O,16.9,686400,16.92,686400,10440.14,4,
2020-01-15,stock,100050,14:50:00,600033.XSHG.CS,B,L,O,3.09,3754500,3.0999999999999996,3754500,10441.26,4,
2020-01-15,stock,100052,14:50:00,600035.XSHG.CS,B,L,O,3.46,3353000,3.47,3353000,10441.24,4,
2020-01-15,stock,100054,14:50:00,600036.XSHG.CS,B,L,O,38.16,304000,38.16,304000,10440.57,4,
2020-01-15,stock,100056,14:50:00,600037.XSHG.CS,B,L,O,9.67,1199700,9.69,1199700,10440.98,4,
2020-01-15,stock,100058,14:50:00,600038.XSHG.CS,B,L,O,46.48,249600,46.489999999999995,249600,10441.26,4,
2020-01-15,stock,100060,14:50:00,600039.XSHG.CS,B,L,O,3.46,3353000,3.47,3353000,10441.24,4,
2020-01-15,stock,100062,14:50:00,600048.XSHG.CS,B,L,O,16.1,720500,16.1,720500,10440.04,4,
2020-01-15,stock,100064,14:50:00,600050.XSHG.CS,B,L,O,6.12,1895600,6.12,1895600,10440.96,4,
2020-01-15,stock,100066,14:50:00,600051.XSHG.CS,B,L,O,6.13,1892500,6.12,1892500,10440.92,4,
2020-01-15,stock,100068,14:50:00,600052.XSHG.CS,B,L,O,5.1,2274800,5.109999999999999,2274800,10441.33,4,
2020-01-15,stock,100070,14:50:00,600053.XSHG.CS,B,L,O,27.28,425200,27.290000000000003,425200,10439.5,4,
2020-01-15,stock,100072,14:50:00,600054.XSHG.CS,B,L,O,9.23,1256900,9.24,1256900,10441.06,4,
