date,time,market-val,margin,fund-avail,total-asset,profit,commission,account,mode
2013-01-02,17:00:00,0,0,100000,100000,0,0,stock,VMT
2020-01-02,16:00:00,0,0,100000,100000,0,0,stock,VMT
2020-01-03,16:00:00,0,0,100000,100000,0,0,stock,VMT
2020-01-06,16:00:00,0,0,100000,100000,0,0,stock,VMT
2020-01-07,16:00:00,0,0,100000,100000,0,0,stock,VMT
2020-01-08,16:00:00,0,0,100000,100000,0,0,stock,VMT
2020-01-09,16:00:00,0,0,100000,100000,0,0,stock,VMT
2020-01-10,16:00:00,0,0,100000,100000,0,0,stock,VMT
2020-01-13,16:00:00,0,0,100000,100000,0,0,stock,VMT
2020-01-14,16:00:00,0,0,100000,100000,0,0,stock,VMT
2020-01-15,16:00:00,0,0,100000,100000,0,0,stock,VMT
2020-01-16,16:00:00,0,0,100000,100000,0,0,stock,VMT
2020-01-17,16:00:00,0,0,100000,100000,0,0,stock,VMT
2020-01-20,16:00:00,0,0,100000,100000,0,0,stock,VMT
2020-01-21,16:00:00,0,0,100000,100000,0,0,stock,VMT
2020-01-22,16:00:00,0,0,100000,100000,0,0,stock,VMT
2020-01-23,16:00:00,0,0,100000,100000,0,0,stock,VMT
2020-02-03,16:00:00,99360,99360,2139.13,101499.13,1499.13,87.87,stock,VMT
2020-02-04,16:00:00,105225,105225,2139.13,107364.13,7364.13,87.87,stock,VMT
2020-02-05,16:00:00,105777,105777,2139.13,107916.13,7916.13,87.87,stock,VMT
2020-02-06,16:00:00,106191,106191,2139.13,108330.13,8330.13,87.87,stock,VMT
2020-02-07,16:00:00,107502,107502,2139.13,109641.13,9641.13,87.87,stock,VMT
2020-02-10,16:00:00,110400,110400,2139.13,112539.13,12539.13,87.87,stock,VMT
2020-02-11,16:00:00,110193,110193,2139.13,112332.13,12332.13,87.87,stock,VMT
2020-02-12,16:00:00,110331,110331,2139.13,112470.13,12470.13,87.87,stock,VMT
2020-02-13,16:00:00,108330,108330,2139.13,110469.13,10469.13,87.87,stock,VMT
2020-02-14,16:00:00,109089,109089,2139.13,111228.13,11228.13,87.87,stock,VMT
2020-02-17,16:00:00,110400,110400,2139.13,112539.13,12539.13,87.87,stock,VMT
2020-02-18,16:00:00,109572,109572,2139.13,111711.13,11711.13,87.87,stock,VMT
2020-02-19,16:00:00,109296,109296,2139.13,111435.13,11435.13,87.87,stock,VMT
2020-02-20,16:00:00,117369,117369,2139.13,119508.13,19508.13,87.87,stock,VMT
2020-02-21,16:00:00,117921,117921,2139.13,120060.13,20060.13,87.87,stock,VMT
2020-02-24,16:00:00,112608,112608,2139.13,114747.13,14747.13,87.87,stock,VMT
2020-02-25,16:00:00,0,0,110813.6,110813.6,10813.6,295.4,stock,VMT
2020-02-26,16:00:00,0,0,110813.6,110813.6,10813.6,295.4,stock,VMT
2020-02-27,16:00:00,0,0,110813.6,110813.6,10813.6,295.4,stock,VMT
2020-02-28,16:00:00,0,0,110813.6,110813.6,10813.6,295.4,stock,VMT
2020-03-02,16:00:00,0,0,110813.6,110813.6,10813.6,295.4,stock,VMT
2020-03-03,16:00:00,0,0,110813.6,110813.6,10813.6,295.4,stock,VMT
2020-03-04,16:00:00,0,0,110813.6,110813.6,10813.6,295.4,stock,VMT
2020-03-05,16:00:00,0,0,110813.6,110813.6,10813.6,295.4,stock,VMT
2020-03-06,16:00:00,0,0,110813.6,110813.6,10813.6,295.4,stock,VMT
2020-03-09,16:00:00,0,0,110813.6,110813.6,10813.6,295.4,stock,VMT
2020-03-10,16:00:00,0,0,110813.6,110813.6,10813.6,295.4,stock,VMT
2020-03-11,16:00:00,0,0,110813.6,110813.6,10813.6,295.4,stock,VMT
2020-03-12,16:00:00,0,0,110813.6,110813.6,10813.6,295.4,stock,VMT
2020-03-13,16:00:00,0,0,110813.6,110813.6,10813.6,295.4,stock,VMT
2020-03-16,16:00:00,109107,109107,1203.41,110310.41,10310.41,393.59,stock,VMT
2020-03-17,16:00:00,107001,107001,1203.41,108204.41,8204.41,393.59,stock,VMT
2020-03-18,16:00:00,107082,107082,1203.41,108285.41,8285.41,393.59,stock,VMT
2020-03-19,16:00:00,104490,104490,1203.41,105693.41,5693.41,393.59,stock,VMT
2020-03-20,16:00:00,107730,107730,1203.41,108933.41,8933.41,393.59,stock,VMT
2020-03-23,16:00:00,102951,102951,1203.41,104154.41,4154.41,393.59,stock,VMT
2020-03-24,16:00:00,107892,107892,1203.41,109095.41,9095.41,393.59,stock,VMT
2020-03-25,16:00:00,111699,111699,1203.41,112902.41,12902.41,393.59,stock,VMT
2020-03-26,16:00:00,109755,109755,1203.41,110958.41,10958.41,393.59,stock,VMT
2020-03-27,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-03-30,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-03-31,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-04-01,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-04-02,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-04-03,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-04-07,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-04-08,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-04-09,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-04-10,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-04-13,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-04-14,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-04-15,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-04-16,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-04-17,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-04-20,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-04-21,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
