Date,Time,Open,Close,High,Low,Volume,Amount
20200102,2020.01.02T14:50:00.000,17.47,17.46,17.49,17.45,403000,7035232
20200102,2020.01.02T14:51:00.000,17.47,17.46,17.47,17.44,101800,1776832
20200102,2020.01.02T15:00:00.000,17.52,17.52,17.52,17.52,187500,3285008
20200103,2020.01.03T14:50:00.000,17.34,17.33,17.35,17.32,111400,1931713
20200103,2020.01.03T14:51:00.000,17.33,17.33,17.33,17.32,83400,1445136
20200103,2020.01.03T15:00:00.000,17.39,17.38,17.39,17.38,117300,2038672
20200106,2020.01.06T14:50:00.000,17.09,17.08,17.09,17.08,33200,567072
20200106,2020.01.06T14:51:00.000,17.07,17.09,17.09,17.07,140100,2393936
20200106,2020.01.06T15:00:00.000,17.09,17.08,17.09,17.08,170072,2904832
20200107,2020.01.07T14:50:00.000,17.22,17.21,17.22,17.21,70100,1206604
20200107,2020.01.07T14:51:00.000,17.21,17.21,17.22,17.21,66200,1139472
20200107,2020.01.07T15:00:00.000,17.23,17.26,17.26,17.23,152700,2635600
20200108,2020.01.08T14:50:00.000,17.16,17.15,17.17,17.14,116300,1994745
20200108,2020.01.08T14:51:00.000,17.15,17.16,17.16,17.15,135300,2320416
20200108,2020.01.08T15:00:00.000,17.09,17.09,17.09,17.09,80500,1375744
20200109,2020.01.09T14:50:00.000,17.15,17.15,17.15,17.14,22400,384057
20200109,2020.01.09T14:51:00.000,17.15,17.15,17.15,17.14,39390,675283
20200109,2020.01.09T15:00:00.000,17.19,17.18,17.19,17.18,199293,3423854
20200110,2020.01.10T14:50:00.000,17.87,17.88,17.88,17.86,276970,4950240
20200110,2020.01.10T14:51:00.000,17.86,17.83,17.88,17.83,240630,4296160
20200110,2020.01.10T15:00:00.000,17.84,17.85,17.85,17.84,290400,5183648
20200113,2020.01.13T14:50:00.000,18.12,18.12,18.12,18.11,90300,1635488
20200113,2020.01.13T14:51:00.000,18.11,18.09,18.11,18.08,177200,3206800
20200113,2020.01.13T15:00:00.000,18.1,18.1,18.1,18.1,265400,4803728
20200114,2020.01.14T14:50:00.000,17.78,17.8,17.8,17.78,100400,1786092
20200114,2020.01.14T14:51:00.000,17.8,17.83,17.83,17.78,111400,1983359
20200114,2020.01.14T15:00:00.000,17.86,17.82,17.86,17.82,130800,2330848
20200115,2020.01.15T14:50:00.000,17.69,17.67,17.71,17.67,166900,2951329
20200115,2020.01.15T14:51:00.000,17.67,17.68,17.69,17.67,68300,1207528
20200115,2020.01.15T15:00:00.000,17.74,17.79,17.79,17.74,366200,6514698
20200116,2020.01.16T14:50:00.000,17.67,17.69,17.7,17.67,42200,746458
20200116,2020.01.16T14:51:00.000,17.68,17.69,17.69,17.68,34500,610238
20200116,2020.01.16T15:00:00.000,17.66,17.64,17.66,17.64,166800,2942352
20200117,2020.01.17T14:50:00.000,17.65,17.65,17.66,17.64,39673,700129
20200117,2020.01.17T14:51:00.000,17.64,17.66,17.66,17.64,26363,465303
20200117,2020.01.17T15:00:00.000,17.65,17.65,17.65,17.65,100852,1780038
20200120,2020.01.20T14:50:00.000,17.01,17.02,17.02,17,90600,1540800
20200120,2020.01.20T14:51:00.000,17.01,17.03,17.04,17.01,83200,1416656
20200120,2020.01.20T15:00:00.000,17.07,17.08,17.08,17.07,213688,3649792
20200121,2020.01.21T14:50:00.000,16.82,16.82,16.82,16.81,37600,632352
20200121,2020.01.21T14:51:00.000,16.82,16.81,16.83,16.81,77891,1309840
20200121,2020.01.21T15:00:00.000,16.79,16.78,16.79,16.78,105400,1768608
20200122,2020.01.22T14:50:00.000,16.73,16.74,16.74,16.73,42566,712445
20200122,2020.01.22T14:51:00.000,16.74,16.73,16.74,16.72,56531,945612
20200122,2020.01.22T15:00:00.000,16.7,16.69,16.7,16.69,152519,2545542
20200123,2020.01.23T14:50:00.000,15.25,15.27,15.35,15.25,140800,2153504
20200123,2020.01.23T14:51:00.000,15.34,15.22,15.36,15.21,521000,7949136
20200123,2020.01.23T15:00:00.000,15.29,15.34,15.34,15.29,309800,4752336
20200203,2020.02.03T14:50:00.000,14.1,14.15,14.15,14.06,308501,4349760
20200203,2020.02.03T14:51:00.000,14.12,14.22,14.23,14.1,312500,4429680
20200203,2020.02.03T15:00:00.000,14.37,14.4,14.4,14.37,362800,5224320
20200204,2020.02.04T14:50:00.000,15.18,15.17,15.19,15.16,94500,1434016
20200204,2020.02.04T14:51:00.000,15.18,15.23,15.23,15.17,300040,4555216
20200204,2020.02.04T15:00:00.000,15.22,15.25,15.25,15.22,166600,2540656
20200205,2020.02.05T14:50:00.000,15.27,15.27,15.28,15.26,100500,1534576
20200205,2020.02.05T14:51:00.000,15.28,15.29,15.29,15.27,81174,1240288
20200205,2020.02.05T15:00:00.000,15.34,15.33,15.34,15.33,179023,2744432
20200206,2020.02.06T14:50:00.000,15.36,15.37,15.37,15.36,22707,348918
20200206,2020.02.06T14:51:00.000,15.37,15.38,15.38,15.36,86000,1322321
20200206,2020.02.06T15:00:00.000,15.39,15.39,15.39,15.39,222300,3421197
20200207,2020.02.07T14:50:00.000,15.42,15.45,15.45,15.42,215400,3322497
20200207,2020.02.07T14:51:00.000,15.45,15.44,15.46,15.44,116300,1796671
20200207,2020.02.07T15:00:00.000,15.57,15.58,15.58,15.57,221345,3448555
20200210,2020.02.10T14:50:00.000,16,16,16.02,16,23500,376205
20200210,2020.02.10T14:51:00.000,16.01,16.02,16.02,16,58700,939633
20200210,2020.02.10T15:00:00.000,15.99,16,16,15.99,86958,1391332
