Date,Time,Open,Close,High,Low,Volume,Amount
20200203,2020.02.03T14:50:00.000,4.16,4.16,4.16,4.16,0,0
20200203,2020.02.03T14:51:00.000,4.16,4.16,4.16,4.16,1000,4160
20200203,2020.02.03T15:00:00.000,4.16,4.16,4.16,4.16,0,0
20200204,2020.02.04T14:50:00.000,4.06,4.04,4.06,4.04,79000,320091
20200204,2020.02.04T14:51:00.000,4.04,4.05,4.05,4.02,55700,224613
20200204,2020.02.04T15:00:00.000,4.07,4.06,4.07,4.06,69500,282170
20200205,2020.02.05T14:50:00.000,4.06,4.06,4.06,4.06,6200,25172
20200205,2020.02.05T14:51:00.000,4.06,4.07,4.07,4.06,9400,38226
20200205,2020.02.05T15:00:00.000,4.07,4.07,4.07,4.07,115369,469552
20200206,2020.02.06T14:50:00.000,4.08,4.07,4.08,4.07,2500,10190
20200206,2020.02.06T14:51:00.000,4.07,4.08,4.08,4.07,149300,608106
20200206,2020.02.06T15:00:00.000,4.09,4.1,4.1,4.09,212000,869200
20200207,2020.02.07T14:50:00.000,4.07,4.08,4.08,4.07,35900,146114
20200207,2020.02.07T14:51:00.000,4.08,4.08,4.08,4.06,35484,144142
20200207,2020.02.07T15:00:00.000,4.07,4.07,4.07,4.07,43100,175417
20200210,2020.02.10T14:50:00.000,4.13,4.13,4.14,4.13,45800,189598
20200210,2020.02.10T14:51:00.000,4.13,4.13,4.13,4.13,7800,32214
20200210,2020.02.10T15:00:00.000,4.12,4.13,4.13,4.12,27700,114401
20200211,2020.02.11T14:50:00.000,4.38,4.37,4.38,4.37,61900,270661
20200211,2020.02.11T14:51:00.000,4.37,4.37,4.37,4.36,11000,48005
20200211,2020.02.11T15:00:00.000,4.35,4.36,4.36,4.35,51500,224540
20200212,2020.02.12T14:50:00.000,4.28,4.29,4.29,4.28,5100,21879
20200212,2020.02.12T14:51:00.000,4.29,4.29,4.29,4.29,24700,105963
20200212,2020.02.12T15:00:00.000,4.29,4.28,4.29,4.28,57600,246528
20200213,2020.02.13T14:50:00.000,4.27,4.27,4.27,4.26,4800,20495
20200213,2020.02.13T14:51:00.000,4.27,4.26,4.27,4.26,12000,51156
20200213,2020.02.13T15:00:00.000,4.26,4.25,4.26,4.25,55200,234600
20200214,2020.02.14T14:50:00.000,4.31,4.31,4.32,4.31,91220,393243
20200214,2020.02.14T14:51:00.000,4.31,4.32,4.32,4.31,23300,100537
20200214,2020.02.14T15:00:00.000,4.31,4.34,4.34,4.31,293700,1274658
20200217,2020.02.17T14:50:00.000,4.38,4.38,4.38,4.38,43200,189216
20200217,2020.02.17T14:51:00.000,4.38,4.38,4.38,4.37,50000,218999
20200217,2020.02.17T15:00:00.000,4.38,4.39,4.39,4.38,162300,712497
20200218,2020.02.18T14:50:00.000,4.35,4.35,4.35,4.35,27000,117450
20200218,2020.02.18T14:51:00.000,4.35,4.36,4.36,4.35,35100,153033
20200218,2020.02.18T15:00:00.000,4.35,4.36,4.36,4.35,131800,574648
20200219,2020.02.19T14:50:00.000,4.34,4.33,4.34,4.33,15000,64950
20200219,2020.02.19T14:51:00.000,4.33,4.34,4.34,4.33,109500,475166
20200219,2020.02.19T15:00:00.000,4.33,4.33,4.33,4.33,7100,30743
20200220,2020.02.20T14:50:00.000,4.36,4.36,4.36,4.35,76500,333537
20200220,2020.02.20T14:51:00.000,4.36,4.36,4.37,4.36,67200,293001
20200220,2020.02.20T15:00:00.000,4.36,4.36,4.36,4.36,86383,376630
20200221,2020.02.21T14:50:00.000,4.38,4.38,4.38,4.38,58900,257982
20200221,2020.02.21T14:51:00.000,4.38,4.38,4.38,4.37,63580,278469
20200221,2020.02.21T15:00:00.000,4.39,4.38,4.39,4.38,82440,361088
20200224,2020.02.24T14:50:00.000,4.29,4.29,4.3,4.29,8000,34339
20200224,2020.02.24T14:51:00.000,4.29,4.29,4.3,4.29,25800,110730
20200224,2020.02.24T15:00:00.000,4.29,4.3,4.3,4.29,107600,462680
20200225,2020.02.25T14:50:00.000,4.26,4.26,4.27,4.26,2800,11929
20200225,2020.02.25T14:51:00.000,4.26,4.26,4.27,4.26,5900,25182
20200225,2020.02.25T15:00:00.000,4.26,4.27,4.27,4.26,61700,263459
20200226,2020.02.26T14:50:00.000,4.32,4.33,4.33,4.32,300,1299
20200226,2020.02.26T14:51:00.000,4.32,4.33,4.33,4.32,22900,99080
20200226,2020.02.26T15:00:00.000,4.33,4.32,4.33,4.32,87200,376704
20200227,2020.02.27T14:50:00.000,4.4,4.4,4.4,4.39,65800,289416
20200227,2020.02.27T14:51:00.000,4.4,4.4,4.4,4.39,53500,235281
20200227,2020.02.27T15:00:00.000,4.39,4.38,4.39,4.38,101700,445446
20200228,2020.02.28T14:50:00.000,4.59,4.59,4.6,4.58,128540,590099
20200228,2020.02.28T14:51:00.000,4.59,4.59,4.59,4.58,56700,259741
20200228,2020.02.28T15:00:00.000,4.58,4.59,4.59,4.58,288100,1322379
20200302,2020.03.02T14:50:00.000,4.72,4.71,4.73,4.71,156800,740126
20200302,2020.03.02T14:51:00.000,4.72,4.72,4.73,4.71,26000,122931
20200302,2020.03.02T15:00:00.000,4.76,4.75,4.76,4.75,382788,1818243
20200303,2020.03.03T14:50:00.000,4.64,4.65,4.65,4.63,56396,261749
20200303,2020.03.03T14:51:00.000,4.65,4.65,4.65,4.64,26600,123655
20200303,2020.03.03T15:00:00.000,4.66,4.66,4.66,4.66,235812,1098884
20200304,2020.03.04T14:50:00.000,4.83,4.82,4.83,4.82,44900,216630
20200304,2020.03.04T14:51:00.000,4.82,4.83,4.83,4.81,100600,485172
20200304,2020.03.04T15:00:00.000,4.84,4.84,4.84,4.84,206940,1001589
20200305,2020.03.05T14:50:00.000,4.88,4.86,4.88,4.86,98200,478474
20200305,2020.03.05T14:51:00.000,4.86,4.86,4.87,4.86,34600,168188
20200305,2020.03.05T15:00:00.000,4.87,4.88,4.88,4.87,355760,1736109
20200306,2020.03.06T14:50:00.000,4.88,4.89,4.89,4.88,131000,640256
20200306,2020.03.06T14:51:00.000,4.89,4.91,4.91,4.89,173497,849644
20200306,2020.03.06T15:00:00.000,4.91,4.91,4.91,4.91,119480,586647
20200309,2020.03.09T14:50:00.000,4.69,4.69,4.69,4.68,25600,119964
20200309,2020.03.09T14:51:00.000,4.68,4.68,4.69,4.68,53300,249532
20200309,2020.03.09T15:00:00.000,4.65,4.65,4.65,4.65,136389,634209
20200310,2020.03.10T14:50:00.000,4.64,4.65,4.65,4.64,20000,92973
20200310,2020.03.10T14:51:00.000,4.65,4.65,4.65,4.64,104720,486923
20200310,2020.03.10T15:00:00.000,4.66,4.65,4.66,4.65,149900,697035
20200311,2020.03.11T14:50:00.000,4.57,4.56,4.58,4.56,40600,185541
20200311,2020.03.11T14:51:00.000,4.56,4.57,4.57,4.56,38800,176988
20200311,2020.03.11T15:00:00.000,4.57,4.57,4.57,4.57,25400,116078
20200312,2020.03.12T14:50:00.000,4.64,4.63,4.64,4.63,19000,88134
20200312,2020.03.12T14:51:00.000,4.63,4.63,4.63,4.63,23200,107416
20200312,2020.03.12T15:00:00.000,4.65,4.65,4.65,4.65,107200,498480
20200313,2020.03.13T14:50:00.000,4.54,4.54,4.55,4.54,24500,111255
20200313,2020.03.13T14:51:00.000,4.54,4.55,4.55,4.54,43800,198968
20200313,2020.03.13T15:00:00.000,4.54,4.54,4.54,4.54,71600,325064
20200316,2020.03.16T14:50:00.000,4.44,4.44,4.44,4.43,21700,96243
20200316,2020.03.16T14:51:00.000,4.43,4.43,4.44,4.42,107800,477429
20200316,2020.03.16T15:00:00.000,4.43,4.43,4.43,4.43,28300,125369
20200317,2020.03.17T14:50:00.000,4.43,4.44,4.45,4.43,77320,343363
20200317,2020.03.17T14:51:00.000,4.44,4.44,4.44,4.44,0,0
20200317,2020.03.17T15:00:00.000,4.49,4.49,4.49,4.49,133300,598517
20200318,2020.03.18T14:50:00.000,4.33,4.32,4.33,4.32,65600,283404
20200318,2020.03.18T14:51:00.000,4.32,4.31,4.32,4.31,75100,323743
20200318,2020.03.18T15:00:00.000,4.3,4.3,4.3,4.3,138900,597270
20200319,2020.03.19T14:50:00.000,4.14,4.14,4.14,4.13,5700,23544
20200319,2020.03.19T14:51:00.000,4.13,4.13,4.14,4.13,14000,57873
20200319,2020.03.19T15:00:00.000,4.15,4.15,4.15,4.15,86900,360635
20200320,2020.03.20T14:50:00.000,4.19,4.19,4.2,4.19,5800,24311
20200320,2020.03.20T14:51:00.000,4.19,4.2,4.2,4.19,32000,134312
20200320,2020.03.20T15:00:00.000,4.2,4.19,4.2,4.19,115600,484364
20200323,2020.03.23T14:50:00.000,4.01,4,4.01,4,196300,785206
20200323,2020.03.23T14:51:00.000,4,3.99,4,3.98,139100,554708
20200323,2020.03.23T15:00:00.000,4.01,4,4.01,4,50500,202000
20200324,2020.03.24T14:50:00.000,4.05,4.06,4.06,4.05,2400,9744
20200324,2020.03.24T14:51:00.000,4.06,4.06,4.06,4.05,15400,62473
20200324,2020.03.24T15:00:00.000,4.06,4.05,4.06,4.05,35700,144585
20200325,2020.03.25T14:50:00.000,4.2,4.21,4.21,4.2,50700,213213
20200325,2020.03.25T14:51:00.000,4.21,4.2,4.21,4.2,16100,67685
20200325,2020.03.25T15:00:00.000,4.2,4.21,4.21,4.2,58100,244601
20200326,2020.03.26T14:50:00.000,4.15,4.14,4.16,4.14,76068,315707
20200326,2020.03.26T14:51:00.000,4.14,4.15,4.15,4.14,14000,58095
20200326,2020.03.26T15:00:00.000,4.15,4.14,4.15,4.14,47100,194994
20200327,2020.03.27T14:50:00.000,4.23,4.22,4.23,4.22,9400,39668
20200327,2020.03.27T14:51:00.000,4.22,4.22,4.23,4.22,33300,140527
20200327,2020.03.27T15:00:00.000,4.22,4.22,4.22,4.22,17000,71740
20200330,2020.03.30T14:50:00.000,4.18,4.17,4.18,4.16,8100,33737
20200330,2020.03.30T14:51:00.000,4.17,4.18,4.18,4.17,2600,10851
20200330,2020.03.30T15:00:00.000,4.19,4.18,4.19,4.18,19500,81510
20200331,2020.03.31T14:50:00.000,4.15,4.16,4.16,4.15,5000,20800
20200331,2020.03.31T14:51:00.000,4.15,4.16,4.16,4.15,2000,8304
20200331,2020.03.31T15:00:00.000,4.15,4.15,4.15,4.15,34020,141183
20200401,2020.04.01T14:50:00.000,4.12,4.12,4.12,4.12,1400,5768
20200401,2020.04.01T14:51:00.000,4.12,4.12,4.12,4.12,21400,88178
20200401,2020.04.01T15:00:00.000,4.11,4.12,4.12,4.11,13900,57268
20200402,2020.04.02T14:50:00.000,4.12,4.11,4.12,4.11,30800,126650
20200402,2020.04.02T14:51:00.000,4.11,4.12,4.12,4.11,29300,120706
20200402,2020.04.02T15:00:00.000,4.13,4.14,4.14,4.13,52100,215694
20200403,2020.04.03T14:50:00.000,4.24,4.23,4.24,4.23,13200,55836
20200403,2020.04.03T14:51:00.000,4.23,4.24,4.24,4.23,76100,322604
20200403,2020.04.03T15:00:00.000,4.24,4.24,4.24,4.24,91100,386264
20200407,2020.04.07T14:50:00.000,4.28,4.28,4.28,4.27,6100,26106
20200407,2020.04.07T14:51:00.000,4.28,4.27,4.28,4.27,18000,76987
20200407,2020.04.07T15:00:00.000,4.28,4.28,4.28,4.28,38500,164780
20200408,2020.04.08T14:50:00.000,4.23,4.24,4.24,4.23,11000,46534
20200408,2020.04.08T14:51:00.000,4.23,4.24,4.24,4.23,3500,14809
20200408,2020.04.08T15:00:00.000,4.23,4.23,4.23,4.23,26200,110826
20200409,2020.04.09T14:50:00.000,4.25,4.24,4.25,4.24,3400,14429
20200409,2020.04.09T14:51:00.000,4.25,4.25,4.25,4.24,4500,19093
20200409,2020.04.09T15:00:00.000,4.24,4.23,4.24,4.23,62300,263529
20200410,2020.04.10T14:50:00.000,4.2,4.2,4.2,4.2,2100,8820
20200410,2020.04.10T14:51:00.000,4.2,4.21,4.21,4.2,8100,34022
20200410,2020.04.10T15:00:00.000,4.2,4.21,4.21,4.2,67100,282491
20200413,2020.04.13T14:50:00.000,4.15,4.15,4.15,4.14,25700,106441
20200413,2020.04.13T14:51:00.000,4.15,4.15,4.15,4.15,0,0
20200413,2020.04.13T15:00:00.000,4.14,4.14,4.14,4.14,20400,84456
20200414,2020.04.14T14:50:00.000,4.25,4.25,4.25,4.25,34700,147455
20200414,2020.04.14T14:51:00.000,4.25,4.25,4.25,4.24,13000,55141
20200414,2020.04.14T15:00:00.000,4.25,4.26,4.26,4.25,116100,494586
20200415,2020.04.15T14:50:00.000,4.3,4.31,4.31,4.3,38800,167213
20200415,2020.04.15T14:51:00.000,4.31,4.31,4.31,4.31,44700,192657
20200415,2020.04.15T15:00:00.000,4.32,4.31,4.32,4.31,153900,663309
20200416,2020.04.16T14:50:00.000,4.53,4.5,4.53,4.5,238900,1076903
20200416,2020.04.16T14:51:00.000,4.5,4.53,4.53,4.5,16000,72335
20200416,2020.04.16T15:00:00.000,4.53,4.53,4.53,4.53,131600,596148
20200417,2020.04.17T14:50:00.000,4.59,4.58,4.59,4.58,27800,127569
20200417,2020.04.17T14:51:00.000,4.58,4.58,4.59,4.58,9300,42635
20200417,2020.04.17T15:00:00.000,4.58,4.59,4.59,4.58,72900,334611
20200420,2020.04.20T14:50:00.000,4.62,4.62,4.62,4.61,23500,108556
20200420,2020.04.20T14:51:00.000,4.62,4.62,4.62,4.61,143900,664785
20200420,2020.04.20T15:00:00.000,4.61,4.62,4.62,4.61,187200,864864
20200421,2020.04.21T14:50:00.000,4.63,4.63,4.63,4.61,51700,238931
20200421,2020.04.21T14:51:00.000,4.62,4.6,4.62,4.59,123200,566510
20200421,2020.04.21T15:00:00.000,4.59,4.58,4.59,4.58,34300,157094
20200422,2020.04.22T14:50:00.000,4.63,4.63,4.63,4.62,87000,402800
20200422,2020.04.22T14:51:00.000,4.62,4.62,4.63,4.62,19700,91035
20200422,2020.04.22T15:00:00.000,4.61,4.63,4.63,4.61,53200,246316
20200423,2020.04.23T14:50:00.000,4.76,4.75,4.76,4.75,124600,591863
20200423,2020.04.23T14:51:00.000,4.75,4.75,4.76,4.75,52300,248570
20200423,2020.04.23T15:00:00.000,4.74,4.75,4.75,4.74,74200,352450
20200424,2020.04.24T14:50:00.000,4.71,4.7,4.71,4.69,20600,96783
20200424,2020.04.24T14:51:00.000,4.7,4.7,4.71,4.7,99800,468464
20200424,2020.04.24T15:00:00.000,4.69,4.69,4.69,4.69,131600,617204
20200427,2020.04.27T14:50:00.000,4.65,4.64,4.65,4.64,10500,48815
20200427,2020.04.27T14:51:00.000,4.64,4.66,4.66,4.64,80800,376215
20200427,2020.04.27T15:00:00.000,4.65,4.65,4.65,4.65,11900,55335
20200428,2020.04.28T14:50:00.000,4.68,4.68,4.68,4.67,50400,235868
20200428,2020.04.28T14:51:00.000,4.67,4.67,4.67,4.67,24100,112547
20200428,2020.04.28T15:00:00.000,4.67,4.69,4.69,4.67,90700,425383
20200429,2020.04.29T14:50:00.000,4.9,4.9,4.9,4.89,206700,1012690
20200429,2020.04.29T14:51:00.000,4.9,4.9,4.91,4.89,77700,380952
