Date,Time,Open,Close,High,Low,Volume,Amount
20210104,2021.01.04T14:30:00.000,10.77,10.76,10.77,10.75,39914,429726
20210104,2021.01.04T14:31:00.000,10.75,10.77,10.77,10.75,65300,702947
20210104,2021.01.04T15:00:00.000,10.82,10.82,10.82,10.82,321650,3480253
20210105,2021.01.05T14:30:00.000,10.93,10.93,10.93,10.92,87300,954046
20210105,2021.01.05T14:31:00.000,10.93,10.92,10.93,10.92,24900,272143
20210105,2021.01.05T15:00:00.000,10.9,10.9,10.9,10.9,169700,1849730
20210106,2021.01.06T14:30:00.000,11,10.99,11,10.99,42800,470644
20210106,2021.01.06T14:31:00.000,10.99,10.98,11,10.98,112700,1237918
20210106,2021.01.06T15:00:00.000,10.96,10.97,10.97,10.96,203100,2228007
20210107,2021.01.07T14:30:00.000,10.33,10.31,10.33,10.31,41400,427453
20210107,2021.01.07T14:31:00.000,10.32,10.34,10.34,10.32,50300,519739
20210107,2021.01.07T15:00:00.000,10.45,10.45,10.45,10.45,149600,1563312
20210108,2021.01.08T14:30:00.000,10.47,10.47,10.47,10.46,9500,99436
20210108,2021.01.08T14:31:00.000,10.46,10.48,10.48,10.46,41500,434311
20210108,2021.01.08T15:00:00.000,10.46,10.46,10.46,10.46,311329,3256501
20210111,2021.01.11T14:30:00.000,11.51,11.51,11.51,11.51,35400,407456
20210111,2021.01.11T14:31:00.000,11.51,11.51,11.51,11.51,32500,374064
20210111,2021.01.11T15:00:00.000,11.51,11.51,11.51,11.51,66650,767136
20210112,2021.01.12T14:30:00.000,11.46,11.45,11.46,11.45,65970,755856
20210112,2021.01.12T14:31:00.000,11.45,11.46,11.46,11.45,49500,567072
20210112,2021.01.12T15:00:00.000,11.5,11.48,11.5,11.48,798871,9171040
20210113,2021.01.13T14:30:00.000,11.74,11.74,11.75,11.73,51100,599728
20210113,2021.01.13T14:31:00.000,11.74,11.73,11.74,11.73,31000,363696
20210113,2021.01.13T15:00:00.000,11.7,11.7,11.7,11.7,272300,3185920
20210114,2021.01.14T14:30:00.000,11.4,11.4,11.41,11.4,117500,1340272
20210114,2021.01.14T14:31:00.000,11.41,11.41,11.41,11.4,71800,818848
20210114,2021.01.14T15:00:00.000,11.49,11.45,11.49,11.45,610596,6991312
20210115,2021.01.15T14:30:00.000,11.48,11.49,11.5,11.48,75700,869680
20210115,2021.01.15T14:31:00.000,11.5,11.48,11.5,11.48,76100,873968
20210115,2021.01.15T15:00:00.000,11.5,11.5,11.5,11.5,403695,4642496
20210118,2021.01.18T14:30:00.000,11.48,11.49,11.49,11.47,52900,607119
20210118,2021.01.18T14:31:00.000,11.48,11.48,11.48,11.47,41000,470627
20210118,2021.01.18T15:00:00.000,11.49,11.49,11.49,11.49,368000,4228320
20210119,2021.01.19T14:30:00.000,11.13,11.12,11.14,11.12,63800,710016
20210119,2021.01.19T14:31:00.000,11.12,11.12,11.12,11.1,68600,762320
20210119,2021.01.19T15:00:00.000,11.07,11.07,11.08,11.07,315890,3496896
20210120,2021.01.20T14:30:00.000,11.01,10.99,11.01,10.99,49300,542179
20210120,2021.01.20T14:31:00.000,10.99,11,11.01,10.99,45700,502439
20210120,2021.01.20T15:00:00.000,11.05,11.05,11.06,11.05,211700,2339285
20210121,2021.01.21T14:30:00.000,11.07,11.08,11.09,11.07,34430,381513
20210121,2021.01.21T14:31:00.000,11.09,11.06,11.09,11.06,90770,1005232
20210121,2021.01.21T15:00:00.000,10.99,11,11,10.99,505247,5557717
20210122,2021.01.22T14:30:00.000,10.74,10.74,10.75,10.74,11600,124659
20210122,2021.01.22T14:31:00.000,10.75,10.73,10.75,10.73,40600,436043
20210122,2021.01.22T15:00:00.000,10.71,10.72,10.72,10.71,145568,1560489
20210125,2021.01.25T14:30:00.000,10.41,10.4,10.41,10.39,42500,442058
20210125,2021.01.25T14:31:00.000,10.39,10.38,10.4,10.38,160100,1663038
20210125,2021.01.25T15:00:00.000,10.4,10.39,10.4,10.39,163100,1694609
20210126,2021.01.26T14:30:00.000,10.29,10.3,10.31,10.29,41000,422552
20210126,2021.01.26T14:31:00.000,10.3,10.31,10.31,10.3,4800,49447
20210126,2021.01.26T15:00:00.000,10.25,10.25,10.25,10.25,121337,1243704
20210127,2021.01.27T14:30:00.000,10.18,10.17,10.18,10.17,21400,217807
20210127,2021.01.27T14:31:00.000,10.18,10.18,10.19,10.17,28750,292673
20210127,2021.01.27T15:00:00.000,10.2,10.2,10.2,10.2,155271,1583764
20210128,2021.01.28T14:30:00.000,10.03,10.04,10.05,10.03,29500,296168
20210128,2021.01.28T14:31:00.000,10.04,10.05,10.05,10.04,10500,105499
20210128,2021.01.28T15:00:00.000,10.01,10.01,10.01,10.01,303839,3041429
20210129,2021.01.29T14:30:00.000,9.86,9.85,9.86,9.85,15400,151731
20210129,2021.01.29T14:31:00.000,9.85,9.85,9.85,9.85,80727,795171
20210129,2021.01.29T15:00:00.000,10.02,10,10.02,10,316957,3169570
20210201,2021.02.01T14:30:00.000,9.85,9.86,9.87,9.85,30100,296699
20210201,2021.02.01T14:31:00.000,9.86,9.85,9.86,9.85,17100,168510
20210201,2021.02.01T15:00:00.000,9.85,9.85,9.85,9.85,132900,1309065
20210202,2021.02.02T14:30:00.000,9.94,9.93,9.94,9.93,57250,568543
20210202,2021.02.02T14:31:00.000,9.92,9.92,9.93,9.92,28960,287358
20210202,2021.02.02T15:00:00.000,10.06,10.05,10.06,10.05,222730,2238437
20210203,2021.02.03T14:30:00.000,10.21,10.21,10.22,10.21,45200,461493
20210203,2021.02.03T14:31:00.000,10.21,10.19,10.21,10.19,131800,1343932
20210203,2021.02.03T15:00:00.000,10.12,10.12,10.12,10.12,150300,1521036
20210204,2021.02.04T14:30:00.000,10.2,10.19,10.2,10.19,13100,133580
20210204,2021.02.04T14:31:00.000,10.19,10.22,10.22,10.19,44100,450186
20210204,2021.02.04T15:00:00.000,10.17,10.14,10.17,10.14,338900,3436446
20210205,2021.02.05T14:30:00.000,9.79,9.8,9.81,9.79,84060,823693
20210205,2021.02.05T14:31:00.000,9.81,9.8,9.81,9.79,39400,385881
20210205,2021.02.05T15:00:00.000,9.78,9.77,9.78,9.77,93200,910564
20210208,2021.02.08T14:30:00.000,9.91,9.92,9.92,9.91,4900,48582
20210208,2021.02.08T14:31:00.000,9.92,9.92,9.92,9.91,2200,21814
20210208,2021.02.08T15:00:00.000,9.96,9.96,9.96,9.96,127100,1265916
20210209,2021.02.09T14:30:00.000,10.02,10.01,10.02,10.01,5900,59104
20210209,2021.02.09T14:31:00.000,10.02,10.02,10.02,10.02,23300,233466
20210209,2021.02.09T15:00:00.000,10.04,10.05,10.05,10.04,167410,1682470
20210210,2021.02.10T14:30:00.000,10.41,10.4,10.42,10.4,40600,422710
20210210,2021.02.10T14:31:00.000,10.4,10.42,10.42,10.4,47000,489332
20210210,2021.02.10T15:00:00.000,10.41,10.42,10.42,10.41,130300,1357726
20210218,2021.02.18T14:30:00.000,10.76,10.76,10.76,10.75,20600,221513
20210218,2021.02.18T14:31:00.000,10.76,10.75,10.76,10.75,53600,576232
20210218,2021.02.18T15:00:00.000,10.74,10.75,10.75,10.74,233400,2509050
20210219,2021.02.19T14:30:00.000,10.75,10.75,10.76,10.75,11800,126899
20210219,2021.02.19T14:31:00.000,10.75,10.76,10.76,10.75,56800,610717
20210219,2021.02.19T15:00:00.000,10.76,10.76,10.76,10.76,69300,745668
20210222,2021.02.22T14:30:00.000,10.99,10.99,10.99,10.98,89009,977408
20210222,2021.02.22T14:31:00.000,10.99,11.01,11.02,10.98,343115,3774272
20210222,2021.02.22T15:00:00.000,10.99,10.99,10.99,10.99,308400,3389312
20210223,2021.02.23T14:30:00.000,10.79,10.79,10.8,10.79,47700,514812
20210223,2021.02.23T14:31:00.000,10.8,10.8,10.8,10.79,47700,514847
20210223,2021.02.23T15:00:00.000,10.8,10.8,10.8,10.8,103041,1112843
20210224,2021.02.24T14:30:00.000,10.75,10.75,10.75,10.74,82500,886716
20210224,2021.02.24T14:31:00.000,10.75,10.78,10.78,10.75,103976,1118452
20210224,2021.02.24T15:00:00.000,10.84,10.85,10.85,10.84,105200,1141420
20210225,2021.02.25T14:30:00.000,10.72,10.73,10.73,10.71,30100,322679
20210225,2021.02.25T14:31:00.000,10.73,10.73,10.73,10.71,12038,129137
20210225,2021.02.25T15:00:00.000,10.66,10.66,10.66,10.66,204300,2177838
20210226,2021.02.26T14:30:00.000,10.47,10.46,10.47,10.46,4000,41854
20210226,2021.02.26T14:31:00.000,10.46,10.48,10.48,10.46,15400,161210
20210226,2021.02.26T15:00:00.000,10.46,10.47,10.47,10.46,129000,1350630
20210301,2021.03.01T14:30:00.000,11.01,11,11.02,11,53900,593416
20210301,2021.03.01T14:31:00.000,11,10.99,11.01,10.99,177450,1952020
20210301,2021.03.01T15:00:00.000,11.01,11.01,11.01,11.01,95508,1051543
20210302,2021.03.02T14:30:00.000,11.3,11.3,11.3,11.29,158300,1788480
20210302,2021.03.02T14:31:00.000,11.3,11.31,11.31,11.29,76677,866640
20210302,2021.03.02T15:00:00.000,11.31,11.3,11.31,11.3,187288,2116352
20210303,2021.03.03T14:30:00.000,11.25,11.26,11.26,11.24,32500,365677
20210303,2021.03.03T14:31:00.000,11.25,11.25,11.26,11.25,61500,691881
20210303,2021.03.03T15:00:00.000,11.31,11.33,11.33,11.31,348500,3948505
20210304,2021.03.04T14:30:00.000,11.08,11.07,11.08,11.05,97900,1082188
20210304,2021.03.04T14:31:00.000,11.07,11.04,11.07,11.04,47600,526115
20210304,2021.03.04T15:00:00.000,11.06,11.06,11.06,11.06,190300,2104718
20210305,2021.03.05T14:30:00.000,11.22,11.21,11.22,11.2,90365,1012377
20210305,2021.03.05T14:31:00.000,11.21,11.2,11.21,11.19,27014,302446
20210305,2021.03.05T15:00:00.000,11.17,11.18,11.18,11.17,232932,2604179
20210308,2021.03.08T14:30:00.000,10.98,11,11,10.98,53400,586714
20210308,2021.03.08T14:31:00.000,11,10.99,11,10.99,23000,252861
20210308,2021.03.08T15:00:00.000,10.99,10.97,10.99,10.97,228100,2502257
20210309,2021.03.09T14:30:00.000,10.6,10.61,10.61,10.6,35200,373267
20210309,2021.03.09T14:31:00.000,10.61,10.6,10.61,10.59,48800,517101
20210309,2021.03.09T15:00:00.000,10.53,10.53,10.53,10.53,234496,2469243
20210310,2021.03.10T14:30:00.000,10.24,10.23,10.24,10.23,12725,130233
20210310,2021.03.10T14:31:00.000,10.23,10.26,10.26,10.23,19957,204465
20210310,2021.03.10T15:00:00.000,10.2,10.21,10.21,10.2,96300,983223
20210311,2021.03.11T14:30:00.000,10.27,10.26,10.28,10.26,25200,258748
20210311,2021.03.11T14:31:00.000,10.26,10.28,10.28,10.26,74560,765260
20210311,2021.03.11T15:00:00.000,10.34,10.34,10.34,10.34,124900,1291466
20210312,2021.03.12T14:30:00.000,10.25,10.24,10.25,10.24,5700,58402
20210312,2021.03.12T14:31:00.000,10.25,10.24,10.25,10.23,39200,401364
20210312,2021.03.12T15:00:00.000,10.22,10.24,10.24,10.22,108100,1106944
20210315,2021.03.15T14:30:00.000,10.17,10.16,10.17,10.16,33900,344575
20210315,2021.03.15T14:31:00.000,10.16,10.16,10.16,10.15,13400,136141
20210315,2021.03.15T15:00:00.000,10.2,10.18,10.2,10.18,155300,1580954
20210316,2021.03.16T14:30:00.000,10.2,10.21,10.21,10.2,24100,246050
20210316,2021.03.16T14:31:00.000,10.21,10.2,10.21,10.2,9800,100002
20210316,2021.03.16T15:00:00.000,10.25,10.25,10.25,10.25,148503,1522156
20210317,2021.03.17T14:30:00.000,10.16,10.16,10.16,10.15,3200,32511
20210317,2021.03.17T14:31:00.000,10.16,10.16,10.16,10.15,4000,40639
20210317,2021.03.17T15:00:00.000,10.17,10.17,10.17,10.17,117008,1189971
20210318,2021.03.18T14:30:00.000,9.94,9.95,9.95,9.94,11600,115349
20210318,2021.03.18T14:31:00.000,9.95,9.94,9.95,9.94,10100,100415
20210318,2021.03.18T15:00:00.000,9.94,9.94,9.94,9.94,161980,1610081
20210319,2021.03.19T14:30:00.000,9.94,9.95,9.95,9.94,25500,253690
20210319,2021.03.19T14:31:00.000,9.96,9.97,9.97,9.96,45030,448678
20210319,2021.03.19T15:00:00.000,10.03,9.98,10.03,9.98,216101,2156688
20210322,2021.03.22T14:30:00.000,10.15,10.14,10.15,10.14,22700,230244
20210322,2021.03.22T14:31:00.000,10.15,10.15,10.15,10.14,39200,397777
20210322,2021.03.22T15:00:00.000,10.13,10.14,10.14,10.13,60200,610428
20210323,2021.03.23T14:30:00.000,10.12,10.1,10.12,10.1,31550,319088
20210323,2021.03.23T14:31:00.000,10.1,10.11,10.12,10.1,10170,102831
20210323,2021.03.23T15:00:00.000,10.13,10.15,10.15,10.13,235930,2394690
20210324,2021.03.24T14:30:00.000,10.01,10.01,10.01,10,38770,388050
20210324,2021.03.24T14:31:00.000,10.01,10.01,10.01,10,11300,113083
20210324,2021.03.24T15:00:00.000,9.98,9.96,9.98,9.96,222300,2214108
20210325,2021.03.25T14:30:00.000,9.94,9.94,9.95,9.93,23500,233428
20210325,2021.03.25T14:31:00.000,9.94,9.93,9.95,9.93,36600,363471
20210325,2021.03.25T15:00:00.000,9.95,9.95,9.95,9.95,73870,735007
20210326,2021.03.26T14:30:00.000,10.08,10.07,10.09,10.07,10300,103830
20210326,2021.03.26T14:31:00.000,10.07,10.07,10.08,10.06,49611,499600
20210326,2021.03.26T15:00:00.000,10.08,10.09,10.09,10.08,132594,1337873
20210329,2021.03.29T14:30:00.000,9.92,9.92,9.93,9.92,56700,562986
20210329,2021.03.29T14:31:00.000,9.92,9.93,9.94,9.92,14200,141014
20210329,2021.03.29T15:00:00.000,9.93,9.94,9.94,9.93,61220,608527
20210330,2021.03.30T14:30:00.000,9.76,9.77,9.77,9.75,10900,106448
20210330,2021.03.30T14:31:00.000,9.77,9.77,9.78,9.77,22400,218856
20210330,2021.03.30T15:00:00.000,9.78,9.78,9.78,9.78,61500,601470
20210331,2021.03.31T14:30:00.000,9.95,9.95,9.96,9.95,38800,386124
20210331,2021.03.31T14:31:00.000,9.95,9.94,9.96,9.94,42625,424005
20210331,2021.03.31T15:00:00.000,9.98,9.98,9.98,9.98,117611,1173758
20210401,2021.04.01T14:30:00.000,9.89,9.89,9.89,9.89,60120,594606
20210401,2021.04.01T14:31:00.000,9.89,9.89,9.89,9.88,3480,34416
20210401,2021.04.01T15:00:00.000,9.9,9.91,9.91,9.9,122650,1215461
20210402,2021.04.02T14:30:00.000,10.1,10.09,10.1,10.09,8000,80749
20210402,2021.04.02T14:31:00.000,10.09,10.1,10.1,10.09,6700,67646
20210402,2021.04.02T15:00:00.000,10.05,10.07,10.07,10.05,81200,817684
20210406,2021.04.06T14:30:00.000,10.13,10.13,10.13,10.12,37720,382069
20210406,2021.04.06T14:31:00.000,10.13,10.13,10.13,10.12,40500,410246
20210406,2021.04.06T15:00:00.000,10.15,10.15,10.15,10.15,66400,673960
20210407,2021.04.07T14:30:00.000,10.02,10.02,10.02,10.02,53679,537475
20210407,2021.04.07T14:31:00.000,10.02,10.01,10.02,10.01,24200,242256
20210407,2021.04.07T15:00:00.000,10.03,10.05,10.05,10.03,134600,1352730
20210408,2021.04.08T14:30:00.000,10.05,10.03,10.06,10.02,156700,1572697
20210408,2021.04.08T14:31:00.000,10.03,10.03,10.04,10.03,8800,88293
20210408,2021.04.08T15:00:00.000,10.02,10.02,10.02,10.02,51700,518034
20210409,2021.04.09T14:30:00.000,9.92,9.92,9.92,9.92,100,992
20210409,2021.04.09T14:31:00.000,9.92,9.91,9.92,9.91,9200,91243
20210409,2021.04.09T15:00:00.000,9.89,9.89,9.89,9.89,131506,1300595
20210412,2021.04.12T14:30:00.000,9.77,9.77,9.78,9.77,12900,126035
20210412,2021.04.12T14:31:00.000,9.77,9.77,9.78,9.77,15097,147500
20210412,2021.04.12T15:00:00.000,9.77,9.77,9.77,9.77,35575,347567
20210413,2021.04.13T14:30:00.000,9.78,9.78,9.78,9.78,1000,9780
20210413,2021.04.13T14:31:00.000,9.78,9.79,9.79,9.78,8300,81175
20210413,2021.04.13T15:00:00.000,9.8,9.8,9.8,9.8,42800,419440
20210414,2021.04.14T14:30:00.000,9.84,9.86,9.86,9.84,236730,2331386
20210414,2021.04.14T14:31:00.000,9.85,9.85,9.85,9.85,14300,140855
20210414,2021.04.14T15:00:00.000,9.86,9.86,9.86,9.86,47800,471308
20210415,2021.04.15T14:30:00.000,9.7,9.7,9.7,9.69,37900,367536
20210415,2021.04.15T14:31:00.000,9.7,9.71,9.71,9.7,23600,228960
20210415,2021.04.15T15:00:00.000,9.7,9.71,9.71,9.7,54300,527253
20210416,2021.04.16T14:30:00.000,10.55,10.56,10.57,10.54,69700,735840
20210416,2021.04.16T14:31:00.000,10.56,10.55,10.57,10.54,68200,720544
20210416,2021.04.16T15:00:00.000,10.47,10.45,10.47,10.45,363700,3800656
20210419,2021.04.19T14:30:00.000,11.5,11.5,11.5,11.5,2300,26464
20210419,2021.04.19T14:31:00.000,11.5,11.5,11.5,11.5,10100,116144
20210419,2021.04.19T15:00:00.000,11.5,11.5,11.5,11.5,41700,479552
