Date,Time,Open,Close,High,Low,Volume,Amount
20221201,2022.12.01T14:30:00.000,30.73,30.73,30.73,30.73,0,0
20221201,2022.12.01T14:31:00.000,30.73,30.889999,30.889999,30.73,600,18520
20221201,2022.12.01T15:00:00.000,31.200001,31.129999,31.200001,31.129999,1820,56657
20221202,2022.12.02T14:30:00.000,31.440001,31.440001,31.440001,31.440001,0,0
20221202,2022.12.02T14:31:00.000,31.440001,31.450001,31.450001,31.440001,2000,62900
20221202,2022.12.02T15:00:00.000,31.57,30.75,32.150002,30.700001,-193010,-6173860
20221207,2022.12.07T14:30:00.000,30.370001,30.370001,30.370001,30.370001,0,0
20221207,2022.12.07T14:31:00.000,30.370001,30.370001,30.370001,30.370001,0,0
20221207,2022.12.07T15:00:00.000,30.25,30.33,30.33,30.25,1526,46283
20221208,2022.12.08T14:30:00.000,29.82,29.82,29.82,29.82,271,8081
20221208,2022.12.08T14:31:00.000,29.82,29.82,29.82,29.82,200,5964
20221208,2022.12.08T15:00:00.000,29.799999,29.799999,29.799999,29.799999,4727,140865
20221209,2022.12.09T14:30:00.000,30.1,30.1,30.1,30.1,0,0
20221209,2022.12.09T14:31:00.000,30.1,30.1,30.1,30.1,0,0
20221209,2022.12.09T15:00:00.000,29.940001,30,30,29.940001,587,17610
20221212,2022.12.12T14:30:00.000,30.360001,30.360001,30.360001,30.360001,0,0
20221212,2022.12.12T14:31:00.000,30.360001,30.360001,30.360001,30.360001,0,0
20221212,2022.12.12T15:00:00.000,30.440001,30.459999,30.459999,30.440001,3607,109870
20221213,2022.12.13T14:30:00.000,29.93,29.93,29.93,29.93,0,0
20221213,2022.12.13T14:31:00.000,29.93,29.93,29.93,29.93,0,0
20221213,2022.12.13T15:00:00.000,29.969999,29.83,29.969999,29.83,5471,163200
20221214,2022.12.14T14:30:00.000,29.77,29.77,29.77,29.77,0,0
20221214,2022.12.14T14:31:00.000,29.77,29.77,29.77,29.77,0,0
20221214,2022.12.14T15:00:00.000,29.74,29.74,29.74,29.74,1719,51123
20221215,2022.12.15T14:30:00.000,30.379999,30.379999,30.379999,30.379999,0,0
20221215,2022.12.15T14:31:00.000,30.379999,30.379999,30.379999,30.379999,0,0
20221215,2022.12.15T15:00:00.000,30.16,30.139999,30.16,30.139999,342,10308
20221216,2022.12.16T14:30:00.000,29.52,29.5,29.52,29.5,500,14750
20221216,2022.12.16T14:31:00.000,29.5,29.5,29.5,29.5,0,0
20221216,2022.12.16T15:00:00.000,29.4,29.469999,29.469999,29.4,3340,98430
20221219,2022.12.19T14:30:00.000,28.440001,28.440001,28.440001,28.440001,0,0
20221219,2022.12.19T14:31:00.000,28.27,28.33,28.33,28.27,1248,35340
20221219,2022.12.19T15:00:00.000,28.4,28.34,28.4,28.34,1650,46761
20221220,2022.12.20T14:30:00.000,28.25,28.25,28.25,28.25,0,0
20221220,2022.12.20T14:31:00.000,28.25,28.25,28.25,28.25,796,22487
20221220,2022.12.20T15:00:00.000,28.219999,28.24,28.24,28.219999,1400,39536
20230103,2023.01.03T14:30:00.000,29.440001,29.440001,29.5,29.440001,2206,65065
20230103,2023.01.03T14:31:00.000,29.440001,29.48,29.549999,29.440001,10256,303040
20230103,2023.01.03T15:00:00.000,29.540001,29.58,29.58,29.540001,1000,29580
20230104,2023.01.04T14:30:00.000,29.790001,29.790001,29.790001,29.790001,200,5958
20230104,2023.01.04T14:31:00.000,29.790001,29.790001,29.790001,29.790001,0,0
20230104,2023.01.04T15:00:00.000,29.950001,29.950001,29.950001,29.950001,0,0
20230105,2023.01.05T14:30:00.000,29.959999,29.959999,29.959999,29.959999,200,5992
20230105,2023.01.05T14:31:00.000,29.959999,29.959999,29.959999,29.959999,200,5992
20230105,2023.01.05T15:00:00.000,29.93,29.93,29.93,29.93,1285,38460
20230106,2023.01.06T14:30:00.000,29.59,29.58,29.59,29.58,400,11834
20230106,2023.01.06T14:31:00.000,29.58,29.59,29.59,29.58,200,5918
20230106,2023.01.06T15:00:00.000,29.51,29.51,29.51,29.51,0,0
20230109,2023.01.09T14:30:00.000,29.299999,29.299999,29.299999,29.299999,0,0
20230109,2023.01.09T14:31:00.000,29.299999,29.23,29.299999,29.23,600,17538
20230109,2023.01.09T15:00:00.000,29.35,29.35,29.35,29.35,2223,65246
20230110,2023.01.10T14:30:00.000,29.18,29.18,29.18,29.18,0,0
20230110,2023.01.10T14:31:00.000,29.18,29.17,29.18,29.17,1500,43757
