,code,signal_date
10,000021.SZ,2013-04-30
14,000027.SZ,2013-04-30
32,000089.SZ,2013-04-30
40,000159.SZ,2013-04-30
45,000402.SZ,2013-04-30
53,000425.SZ,2013-04-30
56,000429.SZ,2013-04-30
57,000488.SZ,2013-04-30
63,000521.SZ,2013-04-30
68,000528.SZ,2013-04-30
125,000685.SZ,2013-04-30
132,000707.SZ,2013-04-30
141,000729.SZ,2013-04-30
150,000756.SZ,2013-04-30
159,000782.SZ,2013-04-30
171,000807.SZ,2013-04-30
192,000876.SZ,2013-04-30
193,000877.SZ,2013-04-30
205,000900.SZ,2013-04-30
207,000903.SZ,2013-04-30
211,000910.SZ,2013-04-30
216,000919.SZ,2013-04-30
220,000930.SZ,2013-04-30
226,000951.SZ,2013-04-30
230,000965.SZ,2013-04-30
237,000978.SZ,2013-04-30
245,000990.SZ,2013-04-30
253,002001.SZ,2013-04-30
287,002042.SZ,2013-04-30
290,002045.SZ,2013-04-30
301,002060.SZ,2013-04-30
319,002082.SZ,2013-04-30
321,002088.SZ,2013-04-30
325,002092.SZ,2013-04-30
347,002122.SZ,2013-04-30
362,002147.SZ,2013-04-30
371,002156.SZ,2013-04-30
398,002202.SZ,2013-04-30
400,002204.SZ,2013-04-30
402,002206.SZ,2013-04-30
407,002212.SZ,2013-04-30
445,002263.SZ,2013-04-30
459,002280.SZ,2013-04-30
462,002283.SZ,2013-04-30
487,002315.SZ,2013-04-30
499,002328.SZ,2013-04-30
501,002330.SZ,2013-04-30
507,002337.SZ,2013-04-30
533,002366.SZ,2013-04-30
545,002380.SZ,2013-04-30
549,002386.SZ,2013-04-30
550,002387.SZ,2013-04-30
556,002393.SZ,2013-04-30
562,002399.SZ,2013-04-30
565,002402.SZ,2013-04-30
568,002406.SZ,2013-04-30
574,002413.SZ,2013-04-30
586,002427.SZ,2013-04-30
591,002432.SZ,2013-04-30
593,002434.SZ,2013-04-30
606,002449.SZ,2013-04-30
636,002483.SZ,2013-04-30
640,002487.SZ,2013-04-30
648,002495.SZ,2013-04-30
657,002504.SZ,2013-04-30
664,002515.SZ,2013-04-30
671,002523.SZ,2013-04-30
675,002528.SZ,2013-04-30
683,002536.SZ,2013-04-30
684,002537.SZ,2013-04-30
686,002539.SZ,2013-04-30
717,002574.SZ,2013-04-30
719,002576.SZ,2013-04-30
724,002582.SZ,2013-04-30
727,002585.SZ,2013-04-30
735,002593.SZ,2013-04-30
743,002602.SZ,2013-04-30
753,002614.SZ,2013-04-30
761,002623.SZ,2013-04-30
763,002626.SZ,2013-04-30
768,002631.SZ,2013-04-30
781,002647.SZ,2013-04-30
812,300030.SZ,2013-04-30
815,300033.SZ,2013-04-30
827,300046.SZ,2013-04-30
830,300050.SZ,2013-04-30
832,300052.SZ,2013-04-30
853,300077.SZ,2013-04-30
854,300078.SZ,2013-04-30
857,300082.SZ,2013-04-30
864,300095.SZ,2013-04-30
870,300102.SZ,2013-04-30
875,300107.SZ,2013-04-30
891,300125.SZ,2013-04-30
902,300138.SZ,2013-04-30
912,300150.SZ,2013-04-30
915,300153.SZ,2013-04-30
920,300158.SZ,2013-04-30
922,300160.SZ,2013-04-30
927,300165.SZ,2013-04-30
929,300167.SZ,2013-04-30
938,300178.SZ,2013-04-30
944,300184.SZ,2013-04-30
954,300194.SZ,2013-04-30
965,300206.SZ,2013-04-30
968,300209.SZ,2013-04-30
970,300211.SZ,2013-04-30
982,300223.SZ,2013-04-30
991,300233.SZ,2013-04-30
1011,300254.SZ,2013-04-30
1023,300269.SZ,2013-04-30
1031,300277.SZ,2013-04-30
1047,600006.SH,2013-04-30
1061,600028.SH,2013-04-30
1073,600051.SH,2013-04-30
1097,600098.SH,2013-04-30
1142,600183.SH,2013-04-30
1145,600189.SH,2013-04-30
1158,600210.SH,2013-04-30
1161,600216.SH,2013-04-30
1189,600268.SH,2013-04-30
1190,600269.SH,2013-04-30
1210,600295.SH,2013-04-30
1212,600298.SH,2013-04-30
1214,600303.SH,2013-04-30
1216,600308.SH,2013-04-30
1218,600310.SH,2013-04-30
1224,600321.SH,2013-04-30
1225,600322.SH,2013-04-30
1235,600350.SH,2013-04-30
1241,600361.SH,2013-04-30
1248,600370.SH,2013-04-30
1252,600375.SH,2013-04-30
1256,600380.SH,2013-04-30
1281,600425.SH,2013-04-30
1289,600449.SH,2013-04-30
1290,600456.SH,2013-04-30
1293,600461.SH,2013-04-30
1301,600480.SH,2013-04-30
1317,600500.SH,2013-04-30
1323,600508.SH,2013-04-30
1339,600529.SH,2013-04-30
1344,600536.SH,2013-04-30
1349,600548.SH,2013-04-30
1351,600551.SH,2013-04-30
1354,600558.SH,2013-04-30
1365,600580.SH,2013-04-30
1380,600601.SH,2013-04-30
1383,600606.SH,2013-04-30
1401,600641.SH,2013-04-30
1402,600642.SH,2013-04-30
1412,600657.SH,2013-04-30
1417,600665.SH,2013-04-30
1437,600704.SH,2013-04-30
1449,600736.SH,2013-04-30
1458,600755.SH,2013-04-30
1489,600815.SH,2013-04-30
1495,600825.SH,2013-04-30
1497,600827.SH,2013-04-30
1504,600835.SH,2013-04-30
1529,600881.SH,2013-04-30
1530,600883.SH,2013-04-30
1534,600888.SH,2013-04-30
1559,600992.SH,2013-04-30
1565,601001.SH,2013-04-30
1572,601028.SH,2013-04-30
1582,601113.SH,2013-04-30
1591,601168.SH,2013-04-30
1598,601216.SH,2013-04-30
1608,601333.SH,2013-04-30
1620,601607.SH,2013-04-30
1621,601616.SH,2013-04-30
1625,601666.SH,2013-04-30
1628,601677.SH,2013-04-30
1629,601678.SH,2013-04-30
1646,601857.SH,2013-04-30
1647,601872.SH,2013-04-30
1649,601880.SH,2013-04-30
1652,601890.SH,2013-04-30
1664,601992.SH,2013-04-30
1675,000016.SZ,2014-04-30
1681,000027.SZ,2014-04-30
1707,000157.SZ,2014-04-30
1711,000338.SZ,2014-04-30
1713,000401.SZ,2014-04-30
1718,000417.SZ,2014-04-30
1719,000418.SZ,2014-04-30
1722,000422.SZ,2014-04-30
1724,000425.SZ,2014-04-30
1740,000528.SZ,2014-04-30
1758,000560.SZ,2014-04-30
1761,000564.SZ,2014-04-30
1777,000601.SZ,2014-04-30
1781,000616.SZ,2014-04-30
1782,000619.SZ,2014-04-30
1784,000623.SZ,2014-04-30
1787,000630.SZ,2014-04-30
1796,000656.SZ,2014-04-30
1799,000666.SZ,2014-04-30
1812,000703.SZ,2014-04-30
1824,000728.SZ,2014-04-30
1825,000729.SZ,2014-04-30
1826,000731.SZ,2014-04-30
1836,000756.SZ,2014-04-30
1845,000780.SZ,2014-04-30
1852,000791.SZ,2014-04-30
1853,000792.SZ,2014-04-30
1866,000825.SZ,2014-04-30
1870,000839.SZ,2014-04-30
1878,000876.SZ,2014-04-30
1879,000877.SZ,2014-04-30
1880,000881.SZ,2014-04-30
1902,000919.SZ,2014-04-30
1907,000930.SZ,2014-04-30
1910,000937.SZ,2014-04-30
1912,000948.SZ,2014-04-30
1915,000961.SZ,2014-04-30
1916,000962.SZ,2014-04-30
1942,002001.SZ,2014-04-30
1988,002060.SZ,2014-04-30
2022,002106.SZ,2014-04-30
2033,002122.SZ,2014-04-30
2040,002133.SZ,2014-04-30
2053,002154.SZ,2014-04-30
2066,002177.SZ,2014-04-30
2088,002204.SZ,2014-04-30
2090,002206.SZ,2014-04-30
2095,002212.SZ,2014-04-30
2135,002263.SZ,2014-04-30
2151,002283.SZ,2014-04-30
2184,002323.SZ,2014-04-30
2201,002343.SZ,2014-04-30
2220,002365.SZ,2014-04-30
2234,002380.SZ,2014-04-30
2242,002389.SZ,2014-04-30
2246,002393.SZ,2014-04-30
2252,002399.SZ,2014-04-30
2259,002406.SZ,2014-04-30
2266,002413.SZ,2014-04-30
2272,002422.SZ,2014-04-30
2280,002430.SZ,2014-04-30
2298,002449.SZ,2014-04-30
2310,002463.SZ,2014-04-30
2320,002474.SZ,2014-04-30
2330,002485.SZ,2014-04-30
2336,002493.SZ,2014-04-30
2361,002526.SZ,2014-04-30
2368,002533.SZ,2014-04-30
2369,002534.SZ,2014-04-30
2371,002536.SZ,2014-04-30
2372,002537.SZ,2014-04-30
2376,002541.SZ,2014-04-30
2380,002545.SZ,2014-04-30
2392,002558.SZ,2014-04-30
2406,002576.SZ,2014-04-30
2413,002585.SZ,2014-04-30
2421,002593.SZ,2014-04-30
2429,002601.SZ,2014-04-30
2463,002638.SZ,2014-04-30
2472,002647.SZ,2014-04-30
2554,300033.SZ,2014-04-30
2566,300046.SZ,2014-04-30
2592,300077.SZ,2014-04-30
2594,300079.SZ,2014-04-30
2596,300082.SZ,2014-04-30
2612,300102.SZ,2014-04-30
2645,300138.SZ,2014-04-30
2656,300150.SZ,2014-04-30
2658,300152.SZ,2014-04-30
