date,time,inst-id,direction,cost-price,last-price,volume,avail-vol,amt,pnl,account
2021-04-30,16:00:00,600106.XSHG.CS,L,2.61,2.62,365300,365300,957086,3653.0000000000846,
2021-05-06,16:00:00,600106.XSHG.CS,L,2.61,2.63,365300,365300,960739,7306.000000000006,
2021-05-07,16:00:00,600106.XSHG.CS,L,2.61,2.65,365300,365300,968045,14612.000000000013,
2021-05-10,16:00:00,600106.XSHG.CS,L,2.61,2.64,365300,365300,964392,10959.000000000091,
2021-05-11,16:00:00,600106.XSHG.CS,L,2.61,2.66,365300,365300,971698,18265.0000000001,
2021-05-12,16:00:00,600106.XSHG.CS,L,2.61,2.66,365300,365300,971698,18265.0000000001,
2021-05-13,16:00:00,600106.XSHG.CS,L,2.61,2.65,365300,365300,968045,14612.000000000013,
2021-05-14,16:00:00,600106.XSHG.CS,L,2.61,2.68,365300,365300,979004.0000000001,25571.000000000106,
2021-05-17,16:00:00,600106.XSHG.CS,L,2.61,2.65,365300,365300,968045,14612.000000000013,
2021-05-18,16:00:00,600106.XSHG.CS,L,2.61,2.65,365300,365300,968045,14612.000000000013,
2021-05-19,16:00:00,600106.XSHG.CS,L,2.61,2.62,365300,365300,957086,3653.0000000000846,
2021-05-20,16:00:00,600106.XSHG.CS,L,2.61,2.62,365300,365300,957086,3653.0000000000846,
2021-05-21,16:00:00,600106.XSHG.CS,L,2.61,2.64,365300,365300,964392,10959.000000000091,
2021-05-24,16:00:00,600106.XSHG.CS,L,2.61,2.65,365300,365300,968045,14612.000000000013,
2021-05-25,16:00:00,600106.XSHG.CS,L,2.61,2.64,365300,365300,964392,10959.000000000091,
2021-05-26,16:00:00,600106.XSHG.CS,L,2.61,2.65,365300,365300,968045,14612.000000000013,
2021-05-27,16:00:00,600106.XSHG.CS,L,2.61,2.64,365300,365300,964392,10959.000000000091,
2021-05-28,16:00:00,600106.XSHG.CS,L,2.61,2.62,365300,365300,957086,3653.0000000000846,
2021-05-31,16:00:00,600106.XSHG.CS,L,2.61,2.62,365300,365300,957086,3653.0000000000846,
2021-06-01,16:00:00,600106.XSHG.CS,L,2.61,2.62,365300,365300,957086,3653.0000000000846,
2021-06-02,16:00:00,600106.XSHG.CS,L,2.61,2.64,365300,365300,964392,10959.000000000091,
2021-06-03,16:00:00,600106.XSHG.CS,L,2.61,2.61,365300,365300,953433,0,
2021-06-04,16:00:00,600106.XSHG.CS,L,2.61,2.62,365300,365300,957086,3653.0000000000846,
2021-06-07,16:00:00,600106.XSHG.CS,L,2.61,2.61,365300,365300,953433,0,
2021-06-08,16:00:00,600106.XSHG.CS,L,2.61,2.61,365300,365300,953433,0,
2021-06-09,16:00:00,600106.XSHG.CS,L,2.61,2.61,365300,365300,953433,0,
2021-06-10,16:00:00,600106.XSHG.CS,L,2.61,2.62,365300,365300,957086,3653.0000000000846,
2021-06-11,16:00:00,600106.XSHG.CS,L,2.61,2.61,365300,365300,953433,0,
2021-06-15,16:00:00,600106.XSHG.CS,L,2.61,2.58,365300,365300,942474,-10958.999999999929,
2021-06-16,16:00:00,600106.XSHG.CS,L,2.61,2.57,365300,365300,938820.9999999999,-14612.000000000013,
2021-06-17,16:00:00,600106.XSHG.CS,L,2.61,2.53,365300,365300,924208.9999999999,-29224.000000000025,
2021-06-18,16:00:00,600106.XSHG.CS,L,2.61,2.55,365300,365300,931514.9999999999,-21918.00000000002,
2021-06-21,16:00:00,600106.XSHG.CS,L,2.61,2.57,365300,365300,938820.9999999999,-14612.000000000013,
2021-06-22,16:00:00,600106.XSHG.CS,L,2.61,2.58,365300,365300,942474,-10958.999999999929,
2021-06-23,16:00:00,600106.XSHG.CS,L,2.61,2.57,365300,365300,938820.9999999999,-14612.000000000013,
2021-06-24,16:00:00,600106.XSHG.CS,L,2.558,2.518,365300,365300,919825.3999999999,-33607.60000000001,
2021-06-25,16:00:00,600106.XSHG.CS,L,2.61,2.54,365300,365300,927862,-25570.99999999994,
2021-06-28,16:00:00,600106.XSHG.CS,L,2.61,2.51,365300,365300,916902.9999999999,-36530.00000000003,
2021-06-29,16:00:00,600106.XSHG.CS,L,2.61,2.49,365300,365300,909597.0000000001,-43835.999999999876,
2021-06-30,16:00:00,600106.XSHG.CS,L,2.61,2.51,365300,365300,916902.9999999999,-36530.00000000003,
2021-07-01,16:00:00,600106.XSHG.CS,L,2.61,2.5,365300,365300,913250,-40182.999999999956,
2021-07-02,16:00:00,600106.XSHG.CS,L,2.61,2.5,365300,365300,913250,-40182.999999999956,
