Date,Time,Open,Close,High,Low,Volume,Amount
20210104,2021.01.04T09:31:00.000,5.82,5.86,5.86,5.82,4800.0,28002.0
20210104,2021.01.04T15:00:00.000,5.9,5.9,5.9,5.9,17901.0,105616.0
20210105,2021.01.05T09:31:00.000,5.96,5.96,5.96,5.95,7900.0,47059.0
20210105,2021.01.05T15:00:00.000,5.96,5.96,5.96,5.96,2100.0,12516.0
20210106,2021.01.06T09:31:00.000,6.01,6.0,6.01,5.98,20800.0,124729.0
20210106,2021.01.06T15:00:00.000,5.85,5.85,5.85,5.85,3700.0,21645.0
20210107,2021.01.07T09:31:00.000,5.8,5.8,5.8,5.8,13700.0,79460.0
20210107,2021.01.07T15:00:00.000,5.58,5.57,5.58,5.57,37400.0,208318.0
20210108,2021.01.08T09:31:00.000,5.57,5.52,5.57,5.52,2100.0,11642.0
20210108,2021.01.08T15:00:00.000,5.55,5.58,5.58,5.55,28900.0,161262.0
20210111,2021.01.11T09:31:00.000,5.55,5.62,5.62,5.53,13400.0,74429.0
20210111,2021.01.11T15:00:00.000,5.49,5.49,5.49,5.49,1000.0,5490.0
20210112,2021.01.12T09:31:00.000,5.49,5.49,5.49,5.49,0.0,0.0
20210112,2021.01.12T15:00:00.000,5.5,5.5,5.5,5.5,900.0,4950.0
20210113,2021.01.13T09:31:00.000,5.5,5.5,5.5,5.5,2400.0,13200.0
20210113,2021.01.13T15:00:00.000,5.41,5.41,5.41,5.41,0.0,0.0
20210114,2021.01.14T09:31:00.000,5.33,5.41,5.41,5.33,20800.0,111145.0
20210114,2021.01.14T15:00:00.000,5.37,5.39,5.39,5.37,3200.0,17248.0
20210115,2021.01.15T09:31:00.000,5.45,5.45,5.45,5.45,100.0,545.0
20210115,2021.01.15T15:00:00.000,5.66,5.66,5.66,5.66,0.0,0.0
20210118,2021.01.18T09:31:00.000,5.67,5.77,5.82,5.67,58300.0,334966.0
20210118,2021.01.18T15:00:00.000,5.75,5.77,5.77,5.75,12600.0,72702.0
20210119,2021.01.19T09:31:00.000,5.77,5.78,5.78,5.71,12700.0,73271.0
20210119,2021.01.19T15:00:00.000,5.76,5.76,5.76,5.76,4500.0,25920.0
20210120,2021.01.20T09:31:00.000,5.76,5.76,5.76,5.76,14700.0,84672.0
20210120,2021.01.20T15:00:00.000,5.9,5.88,5.9,5.88,36760.0,216149.0
20210121,2021.01.21T09:31:00.000,5.77,5.8,5.8,5.77,8000.0,46260.0
20210121,2021.01.21T15:00:00.000,5.96,5.97,5.97,5.96,4200.0,25074.0
20210122,2021.01.22T09:31:00.000,5.88,5.88,5.88,5.88,400.0,2352.0
20210122,2021.01.22T15:00:00.000,5.92,5.93,5.93,5.92,11000.0,65230.0
20210125,2021.01.25T09:31:00.000,5.87,5.87,5.87,5.87,5100.0,29937.0
20210125,2021.01.25T15:00:00.000,5.72,5.72,5.72,5.72,2500.0,14300.0
20210126,2021.01.26T09:31:00.000,5.76,5.7,5.77,5.69,30200.0,173391.0
20210126,2021.01.26T15:00:00.000,6.01,6.01,6.01,6.01,3100.0,18631.0
20210127,2021.01.27T09:31:00.000,6.01,6.01,6.02,5.99,42700.0,256623.0
20210127,2021.01.27T15:00:00.000,6.0,6.02,6.02,6.0,29200.0,175784.0
20210128,2021.01.28T09:31:00.000,6.02,5.96,6.02,5.96,6000.0,36114.0
20210128,2021.01.28T15:00:00.000,5.87,5.87,5.87,5.87,8500.0,49895.0
20210129,2021.01.29T09:31:00.000,5.88,5.96,5.96,5.88,57100.0,339691.0
20210129,2021.01.29T15:00:00.000,5.87,5.86,5.87,5.86,2900.0,16994.0
20210201,2021.02.01T09:31:00.000,5.83,5.9,5.91,5.82,22860.0,134575.0
20210201,2021.02.01T15:00:00.000,5.81,5.83,5.83,5.81,1600.0,9328.0
20210202,2021.02.02T09:31:00.000,5.76,5.75,5.76,5.7,7800.0,44763.0
20210202,2021.02.02T15:00:00.000,5.6,5.61,5.61,5.6,14000.0,78540.0
20210203,2021.02.03T09:31:00.000,5.61,5.61,5.61,5.61,0.0,0.0
20210203,2021.02.03T15:00:00.000,5.47,5.48,5.48,5.47,31800.0,174264.0
20210204,2021.02.04T09:31:00.000,5.47,5.47,5.47,5.47,1000.0,5470.0
20210204,2021.02.04T15:00:00.000,5.49,5.49,5.49,5.49,10800.0,59292.0
20210205,2021.02.05T09:31:00.000,5.48,5.54,5.54,5.48,2100.0,11526.0
20210205,2021.02.05T15:00:00.000,5.55,5.55,5.55,5.55,5400.0,29970.0
20210208,2021.02.08T09:31:00.000,5.52,5.45,5.52,5.45,1500.0,8245.0
20210208,2021.02.08T15:00:00.000,5.64,5.67,5.67,5.64,3000.0,17010.0
20210209,2021.02.09T09:31:00.000,5.69,5.69,5.69,5.69,10500.0,59745.0
20210209,2021.02.09T15:00:00.000,5.76,5.75,5.76,5.75,3800.0,21850.0
20210210,2021.02.10T09:31:00.000,5.73,5.79,5.79,5.73,3400.0,19572.0
20210210,2021.02.10T15:00:00.000,5.75,5.73,5.75,5.73,18900.0,108297.0
20210218,2021.02.18T09:31:00.000,5.79,5.75,5.79,5.75,20600.0,119099.0
20210218,2021.02.18T15:00:00.000,5.84,5.84,5.84,5.84,27600.0,161184.0
20210219,2021.02.19T09:31:00.000,5.84,5.84,5.84,5.84,0.0,0.0
20210219,2021.02.19T15:00:00.000,5.88,5.88,5.88,5.88,10000.0,58800.0
20210222,2021.02.22T09:31:00.000,5.9,5.86,5.9,5.86,6600.0,38724.0
20210222,2021.02.22T15:00:00.000,5.97,5.97,5.97,5.97,21699.0,129543.0
20210223,2021.02.23T09:31:00.000,5.96,5.96,5.96,5.96,10000.0,59600.0
20210223,2021.02.23T15:00:00.000,5.86,5.85,5.86,5.85,35700.0,208845.0
20210224,2021.02.24T09:31:00.000,5.85,5.85,5.85,5.85,0.0,0.0
20210224,2021.02.24T15:00:00.000,5.92,5.91,5.92,5.91,2000.0,11820.0
20210225,2021.02.25T09:31:00.000,5.91,5.91,5.91,5.91,200.0,1182.0
20210225,2021.02.25T15:00:00.000,5.86,5.88,5.88,5.86,100.0,588.0
20210226,2021.02.26T09:31:00.000,5.82,5.85,5.85,5.82,8700.0,50664.0
20210226,2021.02.26T15:00:00.000,6.17,6.17,6.17,6.17,4500.0,27765.0
20210301,2021.03.01T09:31:00.000,6.23,6.26,6.27,6.23,128300.0,800913.0
20210301,2021.03.01T15:00:00.000,6.09,6.13,6.13,6.09,9600.0,58848.0
20210302,2021.03.02T09:31:00.000,6.06,6.07,6.12,6.06,69700.0,423530.0
20210302,2021.03.02T15:00:00.000,6.3,6.3,6.3,6.3,12800.0,80640.0
20210303,2021.03.03T09:31:00.000,6.27,6.33,6.33,6.27,24000.0,150738.0
20210303,2021.03.03T15:00:00.000,6.41,6.41,6.41,6.41,16300.0,104483.0
20210304,2021.03.04T09:31:00.000,6.43,6.41,6.43,6.41,33500.0,214963.0
20210304,2021.03.04T15:00:00.000,6.39,6.39,6.39,6.39,50700.0,323973.0
20210305,2021.03.05T09:31:00.000,6.39,6.35,6.39,6.35,37500.0,238362.0
20210305,2021.03.05T15:00:00.000,6.58,6.6,6.6,6.58,115200.0,760320.0
20210308,2021.03.08T09:31:00.000,6.6,6.63,6.65,6.6,50500.0,333518.0
20210308,2021.03.08T15:00:00.000,6.63,6.61,6.63,6.61,5000.0,33050.0
20210309,2021.03.09T09:31:00.000,6.61,6.61,6.61,6.61,3100.0,20491.0
20210309,2021.03.09T15:00:00.000,6.29,6.29,6.29,6.29,32900.0,206941.0
20210310,2021.03.10T09:31:00.000,6.31,6.39,6.4,6.31,61400.0,391696.0
20210310,2021.03.10T15:00:00.000,6.33,6.35,6.35,6.33,8400.0,53340.0
20210311,2021.03.11T09:31:00.000,6.35,6.37,6.37,6.35,3400.0,21630.0
20210311,2021.03.11T15:00:00.000,6.37,6.38,6.38,6.37,11100.0,70818.0
20210312,2021.03.12T09:31:00.000,6.38,6.38,6.38,6.38,1200.0,7656.0
20210312,2021.03.12T15:00:00.000,6.39,6.41,6.41,6.39,14400.0,92304.0
20210315,2021.03.15T09:31:00.000,6.37,6.37,6.37,6.37,5900.0,37583.0
20210315,2021.03.15T15:00:00.000,6.34,6.34,6.34,6.34,100.0,634.0
20210316,2021.03.16T09:31:00.000,6.31,6.31,6.31,6.31,3900.0,24609.0
20210316,2021.03.16T15:00:00.000,6.39,6.4,6.4,6.39,15700.0,100480.0
20210317,2021.03.17T09:31:00.000,6.42,6.36,6.42,6.36,3800.0,24288.0
20210317,2021.03.17T15:00:00.000,6.5,6.49,6.5,6.49,24300.0,157707.0
20210318,2021.03.18T09:31:00.000,6.52,6.58,6.58,6.52,36400.0,239399.0
20210318,2021.03.18T15:00:00.000,6.46,6.45,6.46,6.45,18200.0,117390.0
20210319,2021.03.19T09:31:00.000,6.39,6.33,6.39,6.33,57600.0,366771.0
20210319,2021.03.19T15:00:00.000,6.55,6.55,6.55,6.55,57900.0,379245.0
20210322,2021.03.22T09:31:00.000,6.65,6.6,6.65,6.6,9600.0,63650.0
20210322,2021.03.22T15:00:00.000,6.57,6.59,6.59,6.57,22100.0,145639.0
20210323,2021.03.23T09:31:00.000,6.59,6.55,6.59,6.55,12700.0,83425.0
20210323,2021.03.23T15:00:00.000,6.6,6.59,6.6,6.59,13600.0,89624.0
20210324,2021.03.24T09:31:00.000,6.59,6.59,6.63,6.59,9100.0,60106.0
20210324,2021.03.24T15:00:00.000,6.48,6.47,6.48,6.47,20200.0,130694.0
20210325,2021.03.25T09:31:00.000,6.55,6.46,6.55,6.46,31500.0,205283.0
20210325,2021.03.25T15:00:00.000,6.38,6.39,6.39,6.38,13700.0,87543.0
20210326,2021.03.26T09:31:00.000,6.15,6.2,6.28,6.15,135800.0,839924.0
20210326,2021.03.26T15:00:00.000,6.2,6.2,6.2,6.2,10901.0,67586.0
20210329,2021.03.29T09:31:00.000,6.51,6.51,6.51,6.51,1288500.0,8388135.0
20210329,2021.03.29T15:00:00.000,6.51,6.51,6.51,6.51,0.0,0.0
20210330,2021.03.30T09:31:00.000,6.84,6.73,6.84,6.71,752400.0,5140946.0
20210330,2021.03.30T15:00:00.000,6.58,6.58,6.58,6.58,36800.0,242144.0
20210331,2021.03.31T09:31:00.000,6.5,6.46,6.51,6.46,81800.0,530978.0
20210331,2021.03.31T15:00:00.000,6.52,6.52,6.52,6.52,29200.0,190384.0
20210401,2021.04.01T09:31:00.000,6.46,6.47,6.47,6.46,17300.0,111769.0
20210401,2021.04.01T15:00:00.000,6.74,6.75,6.75,6.74,36900.0,249075.0
20210402,2021.04.02T09:31:00.000,6.76,6.76,6.76,6.75,9900.0,66919.0
20210402,2021.04.02T15:00:00.000,7.07,7.06,7.07,7.06,48000.0,338880.0
20210406,2021.04.06T09:31:00.000,7.06,7.07,7.07,7.06,33100.0,233829.0
20210406,2021.04.06T15:00:00.000,7.01,6.99,7.01,6.99,7700.0,53823.0
20210407,2021.04.07T09:31:00.000,6.92,6.91,6.92,6.91,35100.0,242876.0
20210407,2021.04.07T15:00:00.000,6.89,6.89,6.89,6.89,9700.0,66833.0
20210408,2021.04.08T09:31:00.000,7.23,7.23,7.23,7.23,125100.0,904473.0
20210408,2021.04.08T15:00:00.000,7.23,7.23,7.23,7.23,1000.0,7230.0
20210409,2021.04.09T09:31:00.000,7.15,7.19,7.19,7.15,180400.0,1290570.0
20210409,2021.04.09T15:00:00.000,7.27,7.27,7.27,7.27,16400.0,119228.0
20210412,2021.04.12T09:31:00.000,7.26,7.22,7.26,7.22,39600.0,286983.0
20210412,2021.04.12T15:00:00.000,7.17,7.16,7.17,7.16,31700.0,226972.0
20210413,2021.04.13T09:31:00.000,7.16,7.17,7.17,7.16,6800.0,48702.0
20210413,2021.04.13T15:00:00.000,7.08,7.1,7.1,7.08,47000.0,333700.0
20210414,2021.04.14T09:31:00.000,7.03,7.02,7.04,7.02,76000.0,534188.0
20210414,2021.04.14T15:00:00.000,7.14,7.15,7.15,7.14,18600.0,132990.0
20210415,2021.04.15T09:31:00.000,7.17,7.13,7.19,7.13,13900.0,99662.0
20210415,2021.04.15T15:00:00.000,7.19,7.18,7.19,7.18,19800.0,142164.0
20210416,2021.04.16T09:31:00.000,7.18,7.12,7.18,7.12,26700.0,190971.0
20210416,2021.04.16T15:00:00.000,7.27,7.3,7.3,7.27,14700.0,107310.0
20210419,2021.04.19T09:31:00.000,7.3,7.3,7.3,7.3,0.0,0.0
20210419,2021.04.19T15:00:00.000,7.3,7.3,7.3,7.3,0.0,0.0
20210420,2021.04.20T09:31:00.000,7.6,7.86,7.86,7.42,1159379.0,8886999.0
20210420,2021.04.20T15:00:00.000,7.56,7.54,7.56,7.54,50379.0,379858.0
20210421,2021.04.21T09:31:00.000,7.2,7.09,7.23,7.06,725800.0,5189642.0
