date,time,inst-id,direction,cost-price,last-price,volume,avail-vol,amt,pnl,account
2021-04-30,16:00:00,000019.XSHE.CS,L,6.91,6.89,45800,45800,315562,-916.0000000000211,
2021-04-30,16:00:00,000063.XSHE.CS,L,28.930000000000007,28.95,10900,10900,315555,217.99999999991792,
2021-04-30,16:00:00,600106.XSHG.CS,L,2.61,2.62,121700,121700,318854,1217.0000000000282,
2021-05-06,16:00:00,000019.XSHE.CS,L,6.91,7.15,45800,45800,327470,10992.00000000001,
2021-05-06,16:00:00,000063.XSHE.CS,L,28.930000000000007,28.52,10900,10900,310868,-4469.000000000079,
2021-05-06,16:00:00,600106.XSHG.CS,L,2.61,2.63,121700,121700,320071,2434.0000000000023,
2021-05-07,16:00:00,000019.XSHE.CS,L,6.91,7.2,45800,45800,329760,13282.000000000002,
2021-05-07,16:00:00,000063.XSHE.CS,L,28.930000000000007,28.14,10900,10900,306726,-8611.000000000067,
2021-05-07,16:00:00,600106.XSHG.CS,L,2.61,2.65,121700,121700,322505,4868.000000000005,
2021-05-10,16:00:00,000019.XSHE.CS,L,6.91,7.23,45800,45800,331134,14656.000000000013,
2021-05-10,16:00:00,000063.XSHE.CS,L,28.930000000000007,28.33,10900,10900,308797,-6540.000000000093,
2021-05-10,16:00:00,600106.XSHG.CS,L,2.61,2.64,121700,121700,321288,3651.0000000000305,
2021-05-11,16:00:00,000063.XSHE.CS,L,28.930000000000007,28.44,10900,10900,309996,-5341.00000000006,
2021-05-11,16:00:00,600106.XSHG.CS,L,2.61,2.66,121700,121700,323722,6085.000000000033,
2021-05-11,16:00:00,000019.XSHE.CS,L,6.91,7.41,45800,45800,339378,22900,
2021-05-12,16:00:00,000019.XSHE.CS,L,6.91,7.57,45800,45800,346706,30228.000000000007,
2021-05-12,16:00:00,000063.XSHE.CS,L,28.930000000000007,28.58,10900,10900,311522,-3815.0000000000928,
2021-05-12,16:00:00,600106.XSHG.CS,L,2.61,2.66,121700,121700,323722,6085.000000000033,
2021-05-13,16:00:00,000019.XSHE.CS,L,6.91,7.41,45800,45800,339378,22900,
2021-05-13,16:00:00,000063.XSHE.CS,L,28.930000000000007,28.18,10900,10900,307162,-8175.000000000077,
2021-05-13,16:00:00,600106.XSHG.CS,L,2.61,2.65,121700,121700,322505,4868.000000000005,
2021-05-14,16:00:00,600106.XSHG.CS,L,2.61,2.68,121700,121700,326156,8519.000000000035,
2021-05-14,16:00:00,000019.XSHE.CS,L,6.91,7.46,45800,45800,341668,25189.999999999993,
2021-05-14,16:00:00,000063.XSHE.CS,L,28.930000000000007,29.08,10900,10900,316972,1634.999999999907,
2021-05-17,16:00:00,000019.XSHE.CS,L,6.91,7.37,45800,45800,337546,21068,
2021-05-17,16:00:00,000063.XSHE.CS,L,28.930000000000007,29.15,10900,10900,317735,2397.99999999991,
2021-05-17,16:00:00,600106.XSHG.CS,L,2.61,2.65,121700,121700,322505,4868.000000000005,
2021-05-18,16:00:00,000019.XSHE.CS,L,6.91,7.41,45800,45800,339378,22900,
2021-05-18,16:00:00,000063.XSHE.CS,L,28.930000000000007,29.46,10900,10900,321114,5776.9999999999345,
2021-05-18,16:00:00,600106.XSHG.CS,L,2.61,2.65,121700,121700,322505,4868.000000000005,
2021-05-19,16:00:00,000063.XSHE.CS,L,28.930000000000007,29.12,10900,10900,317408,2070.9999999999363,
2021-05-19,16:00:00,600106.XSHG.CS,L,2.61,2.62,121700,121700,318854,1217.0000000000282,
2021-05-19,16:00:00,000019.XSHE.CS,L,6.91,7.29,45800,45800,333882,17403.999999999996,
2021-05-20,16:00:00,000019.XSHE.CS,L,6.91,7.34,45800,45800,336172,19693.999999999985,
2021-05-20,16:00:00,000063.XSHE.CS,L,28.930000000000007,29.09,10900,10900,317081,1743.999999999924,
2021-05-20,16:00:00,600106.XSHG.CS,L,2.61,2.62,121700,121700,318854,1217.0000000000282,
2021-05-21,16:00:00,000019.XSHE.CS,L,6.91,7.37,45800,45800,337546,21068,
2021-05-21,16:00:00,000063.XSHE.CS,L,28.930000000000007,28.71,10900,10900,312939,-2398.000000000065,
2021-05-21,16:00:00,600106.XSHG.CS,L,2.61,2.64,121700,121700,321288,3651.0000000000305,
