Date,Time,Open,Close,High,Low,Volume,Amount
20120528,2012.05.28T10:00:00.000,2.551,2.549,2.557,2.545,267415359,682145575
20120528,2012.05.28T10:30:00.000,2.548,2.551,2.551,2.544,88174282,224658944
20120528,2012.05.28T11:00:00.000,2.55,2.555,2.559,2.548,110168124,281426162
20120528,2012.05.28T11:30:00.000,2.555,2.575,2.576,2.555,108638447,278678373
20120528,2012.05.28T13:30:00.000,2.576,2.58,2.582,2.575,209011338,538963650
20120528,2012.05.28T14:00:00.000,2.58,2.582,2.588,2.58,212094949,547955663
20120528,2012.05.28T14:30:00.000,2.582,2.596,2.596,2.58,143759940,372102275
20120528,2012.05.28T15:00:00.000,2.596,2.604,2.607,2.596,138256330,359824678
20120529,2012.05.29T10:00:00.000,2.602,2.611,2.614,2.602,210563333,549581982
20120529,2012.05.29T10:30:00.000,2.612,2.612,2.614,2.605,119879923,312957589
20120529,2012.05.29T11:00:00.000,2.612,2.621,2.624,2.612,123667776,323657689
20120529,2012.05.29T11:30:00.000,2.621,2.639,2.639,2.617,72793156,191131723
20120529,2012.05.29T13:30:00.000,2.639,2.652,2.661,2.635,49310485,130625976
20120529,2012.05.29T14:00:00.000,2.652,2.652,2.657,2.647,61649334,163493806
20120529,2012.05.29T14:30:00.000,2.652,2.649,2.653,2.643,48509187,128491861
20120529,2012.05.29T15:00:00.000,2.649,2.644,2.653,2.642,28575814,75652728
20120530,2012.05.30T10:00:00.000,2.642,2.646,2.647,2.635,54723148,144625620
20120530,2012.05.30T10:30:00.000,2.647,2.638,2.647,2.635,65310367,172354681
20120530,2012.05.30T11:00:00.000,2.638,2.637,2.64,2.633,38962945,102731801
20120530,2012.05.30T11:30:00.000,2.638,2.641,2.641,2.633,26094174,68811104
20120530,2012.05.30T13:30:00.000,2.641,2.635,2.641,2.635,11409230,30089113
20120530,2012.05.30T14:00:00.000,2.635,2.641,2.644,2.633,25238409,66588226
20120530,2012.05.30T14:30:00.000,2.641,2.641,2.643,2.638,12403592,32761352
20120530,2012.05.30T15:00:00.000,2.642,2.636,2.643,2.634,31745333,83763892
20120531,2012.05.31T10:00:00.000,2.621,2.627,2.63,2.62,37250072,97782432
20120531,2012.05.31T10:30:00.000,2.627,2.623,2.629,2.622,15119501,39684785
20120531,2012.05.31T11:00:00.000,2.623,2.619,2.625,2.613,25777828,67488812
